variant,n_hvg,rep,heads_beat_mean,heads_beat_std,val_mse_mean,n_total
hvg1000,1000,X_pca,201.4,75.9857881448893,0.010601539088007286,545
hvg1000,1000,X_scGPT,192.8,83.35802300918611,0.010600657414866188,545
hvg2000,2000,X_pca,203.0,78.45253341989665,0.010586855708532487,545
hvg2000,2000,X_scGPT,184.8,84.03665866751248,0.010631889964260347,545
hvg3000,3000,X_pca,216.2,84.60590995905665,0.010521106044417888,545
hvg3000,3000,X_scGPT,189.6,83.15912457451677,0.010618721892708703,545
hvg5000,5000,X_pca,210.4,72.83570552963704,0.010540031570956987,545
hvg5000,5000,X_scGPT,189.2,94.03276024875586,0.010680982093939756,545
