rep,reg,dropout,weight_decay,spearman,pred_std,train_mse,val_mse
X_pca,none,0.0,0.0,0.41699068775262305,0.5521342776171456,0.027422304422680465,0.8603101839136669
X_pca,light,0.2,0.0001,0.4262193687252653,0.5851820823315379,0.055190745651035066,0.8755356045256224
X_pca,current,0.5,0.001,0.4240331304867325,0.5282225995873762,0.3587833046524593,0.8910750785524598
X_pca,heavy,0.7,0.01,0.43516742561714555,0.49958100582558257,0.6269492627329183,0.8322208001320416
X_scGPT,none,0.0,0.0,0.4562370666215879,0.5761878080147269,0.3080848018565627,0.8442869140217057
X_scGPT,light,0.2,0.0001,0.45830088022568916,0.57792844054721,0.6072327288827533,0.803297313558901
X_scGPT,current,0.5,0.001,0.48771997615889695,0.4704030574739365,0.6142473667850104,0.7430358253996288
X_scGPT,heavy,0.7,0.01,0.44414455388167795,0.32740589830807154,0.7493443530223292,0.7600413251291621
