fold,rep,n_train_lines,n_val_lines,best_val_mse,train_mse_at_best,gap,n_beats,n_total,model_mean_mse,baseline_mean_mse,task
1,X_pca,124,29,0.0091418457322108,0.0238811594395544,-0.0147393137073435,188,545,0.0092425961261017,0.0083527190028756,all_drugs
2,X_pca,122,31,0.0110727264699229,0.023203531171775,-0.012130804701852,200,545,0.011158759718325,0.0105689370483033,all_drugs
3,X_pca,122,31,0.0107575167693326,0.0231226572517748,-0.0123651404824422,207,545,0.0109347160985701,0.0104200782894797,all_drugs
4,X_pca,122,31,0.0103874688499135,0.0235525410999038,-0.0131650722499903,105,545,0.0105879406625759,0.0095542050667266,all_drugs
5,X_pca,122,31,0.0115134112615282,0.0229963889367491,-0.0114829776752208,334,545,0.0115014889388592,0.0116342955047658,all_drugs
1,X_pca,124,29,0.0393743414358173,0.0483723898664597,-0.0089980484306424,1,1,0.0393743328750133,0.0430100858953617,paclitaxel
2,X_pca,122,31,0.0434881924817251,0.0417102005602282,0.0017779919214969,1,1,0.0434881933033466,0.0540244933659198,paclitaxel
3,X_pca,122,31,0.0364033586159157,0.0415154974279563,-0.0051121388120405,0,1,0.0364033579826355,0.0358063419251709,paclitaxel
4,X_pca,122,31,0.0311050540114919,0.0116296574759896,0.0194753965355023,1,1,0.0311050452291965,0.0326664204676363,paclitaxel
5,X_pca,122,31,0.0503752477235397,0.0047212145101485,0.0456540332133911,1,1,0.0503752417862415,0.0521672411928757,paclitaxel
1,X_scGPT,124,29,0.0090465335820527,0.0242778482127949,-0.0152313146307421,192,545,0.0091655133465099,0.0083527190028756,all_drugs
2,X_scGPT,122,31,0.01117888454293,0.0235514353309307,-0.0123725507880007,190,545,0.0114311476440997,0.0105689370483033,all_drugs
3,X_scGPT,122,31,0.0109100216336513,0.0238113954699387,-0.0129013738362874,188,545,0.0111657639622577,0.0104200782894797,all_drugs
4,X_scGPT,122,31,0.0106970482872084,0.023234374290247,-0.0125373260030386,45,545,0.0108650525874851,0.0095542050667266,all_drugs
5,X_scGPT,122,31,0.0115094552835682,0.0230472869345081,-0.0115378316509398,342,545,0.0115109336308263,0.0116342955047658,all_drugs
1,X_scGPT,124,29,0.0402516434965131,0.0299206128043513,0.0103310306921618,1,1,0.040251649916172,0.0430100858953617,paclitaxel
2,X_scGPT,122,31,0.0412331661201089,0.0291315984384116,0.0121015676816973,1,1,0.0412331707775592,0.0540244933659198,paclitaxel
3,X_scGPT,122,31,0.0322865315918518,0.0313114218806975,0.0009751097111543,1,1,0.0322865284979343,0.0358063419251709,paclitaxel
4,X_scGPT,122,31,0.0271937217038228,0.0541312857157623,-0.0269375640119395,1,1,0.0271937232464551,0.0326664204676363,paclitaxel
5,X_scGPT,122,31,0.0428082476273821,0.0478196337747765,-0.0050113861473943,1,1,0.042808249592781,0.0521672411928757,paclitaxel
