fold,algorithm,Pearson,Spearman,R^2,Pearson: normalized,Spearman: normalized,R^2: normalized
1,NaivePredictor,0.0,0.0,-0.0020932572093150803,0.1720088671187061,0.17694024567607416,0.01177749417701568
1,NaiveDrugMeanPredictor,0.12635772631080708,0.08712050148482195,-0.016028863452222097,0.0,0.0,-0.0019652185121004084
1,NaiveCellLineMeanPredictor,0.0,0.0,-0.0020932572093150803,0.1720088671187061,0.17694024567607416,0.01177749417701568
1,NaiveMeanEffectsPredictor,0.12635772631080708,0.08712050148482195,-0.016028863452222097,0.0,0.0,-0.0019652185121004084
1,SingleDrugRF (pca),0.21919665351282772,0.20084305524983495,0.0364139896448441,0.2715491926074761,0.26831168831168833,0.04975173230784147
1,SingleDrugEN (pca),0.24775942408911106,0.2128785774121956,0.052654797336241455,0.35628025673001124,0.32282716935643896,0.06576773836108796
1,SingleDrugRF (scgpt),0.49997266711237154,0.5001056570548096,0.23962583112188962,0.5301715063912908,0.5167510455646049,0.25015076079407195
1,SingleDrugEN (scgpt),0.12635772631080708,0.08712050148482195,-0.016028863452222097,0.0,0.0,-0.0019652185121004084
1,OncoMLP (X_pca),0.49161239567005677,0.5004732555580014,0.23773214624374883,0.5114773600744946,0.5289478318291878,0.24828328787969778
1,OncoMLP (X_scGPT),0.5546135918555339,0.5630090248734317,0.29713093528073475,0.5733966400945143,0.5699273607748184,0.3068598921255439
2,NaivePredictor,0.0,0.0,-0.002579635794361712,-0.06562807872708407,-0.07246734905987909,-0.09912686780794844
2,NaiveDrugMeanPredictor,0.3029334062719229,0.26823612787072487,0.084859766565478,0.0,0.0,-0.003267154516821913
2,NaiveCellLineMeanPredictor,0.0,0.0,-0.002579635794361712,-0.06562807872708407,-0.07246734905987909,-0.09912686780794844
2,NaiveMeanEffectsPredictor,0.3029334062719229,0.26823612787072487,0.084859766565478,0.0,0.0,-0.003267154516821913
2,SingleDrugRF (pca),0.2876727925186833,0.27588062727311424,0.07985771708108236,0.04021458260810276,0.04391153638099739,-0.0087508954448412
2,SingleDrugEN (pca),0.3957791019417888,0.36153246375042253,0.14015088253953056,0.27818931227600063,0.23891230258585894,0.057348430468619815
2,SingleDrugRF (scgpt),0.4754635164654397,0.44025998253362525,0.22282370166822674,0.38587139870827264,0.3852203308498992,0.14798254420640844
2,SingleDrugEN (scgpt),0.3029334062719229,0.26823612787072487,0.084859766565478,0.0,0.0,-0.003267154516821913
2,OncoMLP (X_pca),0.4390639064153296,0.4364167050499808,0.18310938837322377,0.364222215052323,0.35176554686641187,0.10444378955726308
2,OncoMLP (X_scGPT),0.5132812101477695,0.49107114850940103,0.25733066012970573,0.43546456270773315,0.4449452151361092,0.1858124819163378
3,NaivePredictor,0.0,0.0,-2.4220707740330027e-05,-0.0028118342393954263,-0.04204650039783082,-0.04993571934227781
3,NaiveDrugMeanPredictor,0.21804862165219707,0.23753638890945103,0.047532264649318035,0.0,0.0,-5.676020510936297e-06
3,NaiveCellLineMeanPredictor,0.0,0.0,-2.4220707740330027e-05,-0.0028118342393954263,-0.04204650039783082,-0.04993571934227781
3,NaiveMeanEffectsPredictor,0.21804862165219707,0.23753638890945103,0.047532264649318035,0.0,0.0,-5.676020510936297e-06
3,SingleDrugRF (pca),0.3432970179152316,0.3276332288401254,0.10812456381003277,0.32005328156404844,0.26785490371697274,0.06361080234926642
3,SingleDrugEN (pca),0.3041964949770476,0.31740707568293774,0.08863779372311198,0.23334484943544254,0.23311016569637263,0.043151441920587175
3,SingleDrugRF (scgpt),0.42347880689557094,0.42752127183161664,0.17856243429501306,0.3735780822336617,0.35007165248544564,0.1375642473610743
3,SingleDrugEN (scgpt),0.21804862165219707,0.23753638890945103,0.047532264649318035,0.0,0.0,-5.676020510936297e-06
3,OncoMLP (X_pca),0.4426044104715662,0.4516838334079714,0.19456950636699688,0.39575452036089803,0.3937841468875952,0.1543702370385721
3,OncoMLP (X_scGPT),0.5217492615041264,0.5443573667711599,0.26184931809113554,0.4831326205291888,0.4873600537393641,0.22500800366166784
4,NaivePredictor,0.0,0.0,-0.0035249430062105347,0.017259157662790875,-0.03560881273532057,-0.04825193707095843
4,NaiveDrugMeanPredictor,0.2072518774350048,0.2149148621025797,0.03933353408833462,0.0,0.0,-0.0034832624631464526
4,NaiveCellLineMeanPredictor,0.0,0.0,-0.0035249430062105347,0.017259157662790875,-0.03560881273532057,-0.04825193707095843
4,NaiveMeanEffectsPredictor,0.2072518774350048,0.2149148621025797,0.03933353408833462,0.0,0.0,-0.0034832624631464526
4,SingleDrugRF (pca),0.17558204051778298,0.13664007490810318,0.027159807469731345,-0.006641790720584597,-0.0115305635258725,-0.016199570710647704
4,SingleDrugEN (pca),0.34564601268788864,0.35867121554157727,0.1042878500729969,0.3878835379345259,0.4841701007272947,0.06436606009387158
4,SingleDrugRF (scgpt),0.5279262684342586,0.5478141759876884,0.2398231201770683,0.5259911709489087,0.5496196652312372,0.20594212197273332
4,SingleDrugEN (scgpt),0.2072518774350048,0.2149148621025797,0.03933353408833462,0.0,0.0,-0.0034832624631464526
4,OncoMLP (X_pca),0.4968617061084006,0.5357574942868667,0.22323641908442515,0.4601441808997153,0.4883697753220446,0.18861615347423766
4,OncoMLP (X_scGPT),0.5869917176137325,0.6563057696853952,0.28787414670403666,0.5640240692391019,0.6269034121197232,0.25613477735831136
5,NaivePredictor,0.0,0.0,-0.0014926067084453098,0.013738632538609408,0.07359687534832948,-0.07655710671330018
5,NaiveDrugMeanPredictor,0.26438992844276027,0.17596425898799747,0.06820246901082994,0.0,0.0,-0.001638202104401465
5,NaiveCellLineMeanPredictor,0.0,0.0,-0.0014926067084453098,0.013738632538609408,0.07359687534832948,-0.07655710671330018
5,NaiveMeanEffectsPredictor,0.26438992844276027,0.17596425898799747,0.06820246901082994,0.0,0.0,-0.001638202104401465
5,SingleDrugRF (pca),0.29807401604993833,0.2851656963725929,0.08857037641601195,0.1442968453060708,0.16999328257948948,0.02025633343090749
5,SingleDrugEN (pca),0.34206713400204325,0.34785266457680253,0.11608721563774249,0.23333965226030626,0.21966412897447382,0.04983563198988861
5,SingleDrugRF (scgpt),0.45811611350977754,0.4260098522167488,0.20805589144947045,0.3930904737562815,0.3901321092700404,0.1486976014911281
5,SingleDrugEN (scgpt),0.26438992844276027,0.17596425898799747,0.06820246901082994,0.0,0.0,-0.001638202104401465
5,OncoMLP (X_pca),0.4992057092933018,0.48207568293775194,0.24878901708954293,0.43938977466269574,0.44850425436632335,0.1924837818310814
5,OncoMLP (X_scGPT),0.47792018079773213,0.4892498880429916,0.20675606228094412,0.41044866875541175,0.42827138378862517,0.14730034671409153
