seed,rep,spearman
42,X_pca,0.387765500692841
42,X_scGPT,0.43042305916235346
1,X_pca,0.36747340412405016
1,X_scGPT,0.4336015027623277
7,X_pca,0.35466626347031366
7,X_scGPT,0.47152994825488015
