cid,parent_cids
44505237,44505237
44507138,44507138
44543605,44543605
44566777,44566777
44589607,44589607
44607530,44607530
44607531,44607531
44620216,44620216
44632017,44632017
44819697,44819697
45100309,45100309
45100481,45100481
45279963,45279963
46174525,46174525
46191454,46191454
46199207,46199207
46215462,46215462
46224516,46224516
46398810,46398810
46843906,46843906
46901937,46901937
46907787,46907787
46908927,24826799
46926350,46926350
46943432,46943432
49766530,49766530
49793307,49793307
49836020,49836020
49846579,49846579
49850262,49850262
49867926,49867926
49867930,49867930
50905018,50905018
51037431,51037431
51039095,51039095
52912189,52912189
52947716,52947716
53245473,53245473
53301938,53301938
53325874,53325874
53392493,53392493
53393127,53393127
53481919,25105704
53495165,53495165
54143018,54143018
54596490,54596490
54596558,54596558
54613361,54613361
54618164,54618164
54618305,54618305
54618359,54618359
54618771,54618771
54618795,54618795
54619238,54619238
54619267,54619267
54626689,54626689
54638372,54638372
54639024,54639024
54639126,54639126
54639665,54639665
54639701,54639701
54649381,54649381
54649500,54649500
54678924,54678924
54686904,54686904
54765302,54765302
56646779,56646779
56649450,56649450
56946209,56946209
56949517,56949517
56963564,56963564
56973724,56973724
57330099,57330099
57379345,57379345
57519531,57519531
60168763,60168763
66577038,66577038
66890843,66890843
67156097,67156097
67291369,67291369
68056272,68056272
70680404,70680404
71304818,71304818
71306834,73665
71466380,71466380
71466445,71466445
71466578,71466578
71576739,71576739
71680916,71680916
71729975,71729975
71751553,53472153
72193861,72193861
72193870,72193870
72199289,72199289
72199292,72199292
72734382,72734382
73707371,73707371
73707386,73707386
73707398,73707398
73707438,73707438
73707440,73707440
76446078,76446078
89183176,89183176
89928392,89928392
124202324,124202324
135398516,135398516
135398738,135398738
135398744,135398744
135403648,135403648
135413520,135410875
135421197,135421197
135423438,135423438
135440466,135440466
135659046,135659046
135875424,135875424
135928012,135928012
135984461,135984461
135999136,135999136
136227331,136227331
136227924,135403620
168312962,168312962
168313016,168313016
168313047,168313047
168313200,
168313307,168313307
171352865,171352865
