rep,drug,n_lines,spearman,pearson,pred_std
X_pca,"1s,3r-rsl-3",149,0.5830551270228472,0.5763204460390916,0.6184454758853485
X_pca,kx2-391,149,0.11465989479412297,0.091915982733698,0.4221579817747359
X_pca,cay10618,149,0.3553712637143342,0.3086994032073179,0.35204797746376365
X_pca,ml162,152,0.5857378277411666,0.5869601081644245,0.6196232551748653
X_pca,dasatinib,151,0.5210526315789473,0.5154641859453384,0.6541280523752525
X_scGPT,"1s,3r-rsl-3",149,0.5907097684654783,0.6021394122265287,0.5605133476191805
X_scGPT,kx2-391,149,0.2831380373662253,0.26761812473314894,0.35291246814219923
X_scGPT,cay10618,149,0.34717608124092025,0.3315678557200454,0.2815055476902151
X_scGPT,ml162,152,0.6546028323415892,0.6352691783946268,0.5606690045649815
X_scGPT,dasatinib,151,0.5629731613802718,0.5739871743230222,0.5964149193531065
