variant,GENE,outcome,current_symbol,n_cells_expressed,pct_cells_expressed,total_expression,collides_with_existing_row
all_genes,RP1-102G20.5,not an HGNC former symbol,,25,0.0467176200175658,1386.5591126166607,False
all_genes,AC007386.2,not an HGNC former symbol,,30,0.0560611440210789,1382.9153988532285,False
all_genes,RP11-25I15.3,not an HGNC former symbol,,43,0.0803543064302132,1381.194859857765,False
all_genes,RP11-205M3.3,not an HGNC former symbol,,25,0.0467176200175658,1378.9980142556672,False
all_genes,RP3-477O4.14,not an HGNC former symbol,,30,0.0560611440210789,1378.4261437256223,False
all_genes,RP11-321E2.3,not an HGNC former symbol,,28,0.0523237344196737,1361.9300954221446,False
all_genes,RP11-127L20.3,not an HGNC former symbol,,32,0.0597985536224842,1359.5462810105764,False
all_genes,RP11-286B14.1,not an HGNC former symbol,,21,0.0392428008147552,1358.8614998636324,False
all_genes,AP003774.4,not an HGNC former symbol,,28,0.0523237344196737,1355.3307679756151,False
all_genes,AC002480.2,not an HGNC former symbol,,20,0.0373740960140526,1306.1171498103372,False
all_genes,CTD-2616J11.2,not an HGNC former symbol,,22,0.0411115056154579,1299.5091922013314,False
all_genes,RP11-191N8.2,not an HGNC former symbol,,32,0.0597985536224842,1298.2410208791373,False
all_genes,RP4-651E10.4,not an HGNC former symbol,,30,0.0560611440210789,1296.820106612372,False
all_genes,RP1-93H18.1,not an HGNC former symbol,,25,0.0467176200175658,1286.060008366867,False
all_genes,RP13-444H2.1,not an HGNC former symbol,,29,0.0541924392203763,1271.3773644001626,False
all_genes,RP11-546B15.1,not an HGNC former symbol,,25,0.0467176200175658,1262.1175125768625,False
all_genes,CTD-2034I21.2,not an HGNC former symbol,,26,0.0485863248182684,1261.9889999695051,False
all_genes,AC006126.3,not an HGNC former symbol,,28,0.0523237344196737,1259.994684165145,False
all_genes,RP11-351J23.1,not an HGNC former symbol,,26,0.0485863248182684,1249.9153271220962,False
all_genes,RP11-242F24.1,not an HGNC former symbol,,28,0.0523237344196737,1247.2045229562343,False
all_genes,AC005863.2,not an HGNC former symbol,,30,0.0560611440210789,1246.953040619513,False
all_genes,RP11-179K3.2,not an HGNC former symbol,,29,0.0541924392203763,1245.7709195538478,False
all_genes,AC010884.1,not an HGNC former symbol,,27,0.050455029618971,1235.2289787844734,False
all_genes,AC124944.5,not an HGNC former symbol,,36,0.0672733728252947,1226.5642055271976,False
all_genes,RP11-175K6.1,not an HGNC former symbol,,21,0.0392428008147552,1223.0883592467983,False
all_genes,RP11-141M1.1,not an HGNC former symbol,,21,0.0392428008147552,1213.0083473335071,False
all_genes,AC092839.3,not an HGNC former symbol,,24,0.0448489152168631,1203.193831579864,False
all_genes,RP1-166H4.2,not an HGNC former symbol,,20,0.0373740960140526,1201.6256005558805,False
all_genes,RP11-169D4.2,not an HGNC former symbol,,28,0.0523237344196737,1201.1844255887354,False
all_genes,RP11-1070N10.4,not an HGNC former symbol,,30,0.0560611440210789,1179.4003609642375,False
all_genes,RP11-351M16.3,not an HGNC former symbol,,28,0.0523237344196737,1167.4406118010877,False
all_genes,RP11-714L20.1,not an HGNC former symbol,,23,0.0429802104161605,1164.7108156198065,False
all_genes,AC007163.6,not an HGNC former symbol,,24,0.0448489152168631,1164.1617900399908,False
all_genes,AC079779.6,not an HGNC former symbol,,24,0.0448489152168631,1163.5632835763856,False
all_genes,RP11-117D22.2,not an HGNC former symbol,,24,0.0448489152168631,1156.093678671394,False
all_genes,RP11-336K24.5,not an HGNC former symbol,,18,0.0336366864126473,1154.810049575219,False
all_genes,CTD-2246P4.1,not an HGNC former symbol,,25,0.0467176200175658,1150.8625002469782,False
all_genes,RP11-702F3.4,not an HGNC former symbol,,24,0.0448489152168631,1134.8778917428403,False
all_genes,RP11-197K3.1,not an HGNC former symbol,,18,0.0336366864126473,1131.9144990848197,False
all_genes,RP11-768G7.2,not an HGNC former symbol,,15,0.0280305720105394,1123.6481544909216,False
all_genes,CTC-558O2.1,not an HGNC former symbol,,25,0.0467176200175658,1116.07106662585,False
all_genes,RP13-476E20.1,not an HGNC former symbol,,26,0.0485863248182684,1115.7957249315778,False
all_genes,RP11-412H8.2,not an HGNC former symbol,,17,0.0317679816119447,1113.9135291083066,False
all_genes,DLEU7-AS1,not an HGNC former symbol,,21,0.0392428008147552,1113.324381993872,False
all_genes,RP11-472M19.2,not an HGNC former symbol,,26,0.0485863248182684,1109.1575799372386,False
all_genes,RP11-159D12.10,not an HGNC former symbol,,25,0.0467176200175658,1105.086128528093,False
all_genes,RP11-324I22.2,not an HGNC former symbol,,21,0.0392428008147552,1097.2801351164903,False
all_genes,PGBD3,not an HGNC former symbol,,28,0.0523237344196737,1078.9699571238405,False
all_genes,AL592528.1,not an HGNC former symbol,,28,0.0523237344196737,1077.2904906246931,False
all_genes,RP11-888D10.3,not an HGNC former symbol,,18,0.0336366864126473,1074.1307074114957,False
all_genes,RP11-506O24.1,not an HGNC former symbol,,21,0.0392428008147552,1068.2799705799632,False
all_genes,RP11-1033H12.1,not an HGNC former symbol,,15,0.0280305720105394,1067.5272120827656,False
all_genes,AP003774.6,not an HGNC former symbol,,20,0.0373740960140526,1064.040050696256,False
all_genes,RP11-94A24.1,not an HGNC former symbol,,22,0.0411115056154579,1063.845643526687,False
all_genes,CCL3L3,not an HGNC former symbol,,18,0.0336366864126473,1055.4572506080513,False
all_genes,RP1-167F1.2,not an HGNC former symbol,,18,0.0336366864126473,1055.284543615185,False
all_genes,RP13-941N14.1,not an HGNC former symbol,,17,0.0317679816119447,1043.6449810685283,False
all_genes,AC007966.1,not an HGNC former symbol,,21,0.0392428008147552,1033.6415472783392,False
all_genes,AC090505.6,not an HGNC former symbol,,22,0.0411115056154579,1031.1424294247363,False
all_genes,RP11-417F21.1,not an HGNC former symbol,,19,0.03550539121335,1028.3125140881143,False
all_genes,RP11-168E17.1,not an HGNC former symbol,,19,0.03550539121335,1024.0443176765698,False
all_genes,CTD-2291D10.1,not an HGNC former symbol,,21,0.0392428008147552,1015.1638060530282,False
all_genes,AC012594.1,not an HGNC former symbol,,20,0.0373740960140526,1014.942116431772,False
all_genes,RP11-713P17.5,not an HGNC former symbol,,13,0.0242931624091342,1013.1374689161815,False
all_genes,CTC-254B4.1,not an HGNC former symbol,,15,0.0280305720105394,1009.677590492137,False
all_genes,AC093590.1,not an HGNC former symbol,,22,0.0411115056154579,1004.807694028992,False
all_genes,CTD-2135D7.5,not an HGNC former symbol,,25,0.0467176200175658,1004.705202074944,False
all_genes,RP11-526A4.1,not an HGNC former symbol,,20,0.0373740960140526,999.4702941512554,False
all_genes,RP11-1084I9.1,not an HGNC former symbol,,19,0.03550539121335,995.0722145109888,False
all_genes,CTC-786C10.1,not an HGNC former symbol,,19,0.03550539121335,987.5146713324702,False
all_genes,RP11-329B9.1,not an HGNC former symbol,,25,0.0467176200175658,981.345476305469,False
all_genes,RP11-73M7.6,not an HGNC former symbol,,21,0.0392428008147552,972.7702644367628,False
all_genes,RP11-345F18.1,not an HGNC former symbol,,21,0.0392428008147552,967.9367053326732,False
all_genes,AC005009.2,not an HGNC former symbol,,15,0.0280305720105394,967.4771985344414,False
all_genes,XXbac-BPG249D20.9,not an HGNC former symbol,,19,0.03550539121335,950.907037190789,False
all_genes,RP11-279O17.1,not an HGNC former symbol,,12,0.0224244576084315,950.658594599479,False
all_genes,RP13-991F5.2,not an HGNC former symbol,,19,0.03550539121335,948.5185711759344,False
all_genes,CTD-2044J15.1,not an HGNC former symbol,,19,0.03550539121335,936.603160531593,False
all_genes,AC073133.1,not an HGNC former symbol,,15,0.0280305720105394,933.482312180087,False
all_genes,AC096669.3,not an HGNC former symbol,,20,0.0373740960140526,928.0486465261952,False
all_genes,AC104777.2,not an HGNC former symbol,,13,0.0242931624091342,925.021708808784,False
all_genes,RP11-20B7.1,not an HGNC former symbol,,22,0.0411115056154579,922.4507878571889,False
all_genes,RP11-45A12.1,not an HGNC former symbol,,19,0.03550539121335,918.490516691896,False
all_genes,CTD-2016O11.1,not an HGNC former symbol,,22,0.0411115056154579,912.3541063540714,False
all_genes,RP1-68D18.4,not an HGNC former symbol,,17,0.0317679816119447,911.4250425061356,False
all_genes,RP11-665G4.1,not an HGNC former symbol,,16,0.0298992768112421,898.3353022537739,False
all_genes,RP1-293L8.2,not an HGNC former symbol,,19,0.03550539121335,891.2115643973107,False
all_genes,RP3-471C18.2,not an HGNC former symbol,,15,0.0280305720105394,888.8014415449086,False
all_genes,CTD-2650P22.1,not an HGNC former symbol,,17,0.0317679816119447,882.3727339870986,False
all_genes,AC005592.1,not an HGNC former symbol,,15,0.0280305720105394,875.6521079393258,False
all_genes,AC007192.6,not an HGNC former symbol,,19,0.03550539121335,874.0441363697219,False
all_genes,RP11-476M19.2,not an HGNC former symbol,,17,0.0317679816119447,869.4250235363864,False
all_genes,RP11-65M17.3,not an HGNC former symbol,,17,0.0317679816119447,858.8969510778113,False
all_genes,RP11-430C1.1,not an HGNC former symbol,,19,0.03550539121335,857.9519306856672,False
all_genes,RP11-359P5.1,not an HGNC former symbol,,16,0.0298992768112421,857.1650781120836,False
all_genes,RP11-299L17.3,not an HGNC former symbol,,16,0.0298992768112421,856.7955157589099,False
all_genes,RP3-337H4.8,not an HGNC former symbol,,14,0.0261618672098368,853.975409548279,False
all_genes,CTA-929C8.6,not an HGNC former symbol,,19,0.03550539121335,852.8778173555041,False
all_genes,RP11-774O3.1,not an HGNC former symbol,,19,0.03550539121335,835.2102583084558,False
all_genes,AL109927.1,not an HGNC former symbol,,17,0.0317679816119447,834.967168814889,False
all_genes,AC016735.3,not an HGNC former symbol,,17,0.0317679816119447,828.1974467553674,False
all_genes,KB-1930G5.3,not an HGNC former symbol,,14,0.0261618672098368,826.4898783364391,False
all_genes,RP11-184I16.4,not an HGNC former symbol,,10,0.0186870480070263,810.5197044843239,False
all_genes,RP11-64P14.7,not an HGNC former symbol,,16,0.0298992768112421,807.6694358923253,False
all_genes,RP11-408E5.5,not an HGNC former symbol,,20,0.0373740960140526,794.3509509274952,False
all_genes,RP11-181B18.1,not an HGNC former symbol,,18,0.0336366864126473,793.0359330731144,False
all_genes,RP11-527F13.1,not an HGNC former symbol,,16,0.0298992768112421,770.4534678527415,False
all_genes,AC018742.1,not an HGNC former symbol,,13,0.0242931624091342,770.233828339959,False
all_genes,XXbac-B444P24.8,not an HGNC former symbol,,16,0.0298992768112421,769.6010419954557,False
all_genes,RP11-14C22.3,not an HGNC former symbol,,14,0.0261618672098368,749.2147708126301,False
all_genes,RP6-74O6.2,not an HGNC former symbol,,14,0.0261618672098368,749.147041440826,False
all_genes,RP11-646E18.2,not an HGNC former symbol,,17,0.0317679816119447,747.1252456052415,False
all_genes,CTD-2117L12.1,not an HGNC former symbol,,14,0.0261618672098368,741.670325477819,False
all_genes,AF064858.11,not an HGNC former symbol,,20,0.0373740960140526,725.7076165145759,False
all_genes,RP11-107I14.4,not an HGNC former symbol,,16,0.0298992768112421,721.2059553146314,False
all_genes,RP4-535B20.1,not an HGNC former symbol,,13,0.0242931624091342,720.8328715446121,False
all_genes,RP11-3B12.2,not an HGNC former symbol,,14,0.0261618672098368,720.2134264051826,False
all_genes,RP11-272B17.2,not an HGNC former symbol,,15,0.0280305720105394,716.1825037044424,False
all_genes,RP11-706O15.7,not an HGNC former symbol,,14,0.0261618672098368,703.3007109002322,False
