score,fix_attempt,spearman,train_mse
auc,baseline (broken),-0.08377063821858355,0.027896852632988235
auc,heavy regularization,-0.11634098824229175,0.11490845524081153
auc,no regularization,0.20992694755204488,0.03747832310226251
auc,"small model (32,)",-0.051331246080129164,0.035364798397348345
auc,batch size 32,-0.007799706587918119,0.028191309817400888
auc,line-balanced weights,-0.11555133282014071,0.02873816957877472
auc_z,baseline (broken),0.3330278810036133,0.761154557379494
