half,rep,n_drugs,per_cell,bag,bag_minus_percell
low,X_pca,11,0.26156951813869517,0.26169911537850993,0.00012959723981472639
low,X_scGPT,11,0.1840269688453142,0.24347976033778157,0.0594527914924673
high,X_pca,11,0.29666166999663424,0.2650614669169624,-0.031600203079671756
high,X_scGPT,11,0.19911474598688136,0.2188837208572689,0.019768974870387566
