ccl_name_norm,cpd_name_norm,rep1,rep2,abs_diff,rel_diff
a375,16-beta-bromoandrosterone,0.992375,0.9295625,0.06281250000000005,1.1638711884796655
a375,"1s,3r-rsl-3",0.4244625,0.4528125,0.028349999999999986,0.1457728548032306
a375,3-cl-ahpc,0.8218666666666666,0.9707499999999999,0.14888333333333326,1.0091235440429358
a375,aa-cocf3,0.7848666666666666,1.0493076923076923,0.2644410256410257,1.103307179229015
a375,abt-737,0.910625,0.86575,0.044875,0.47953914141719295
a375,ac55649,0.90875,0.9195625,0.010812500000000003,0.18350775308399458
a375,agk-2,0.8658125,0.9500625,0.08425000000000005,0.4086450190613541
a375,alisertib,1.101,1.0406666666666666,0.06033333333333335,0.4690029168752581
a375,alisertib:navitoclax (2:1 mol/mol),0.7445,0.8187692307692308,0.07426923076923075,0.47622810685163425
a375,apicidin,0.70625,0.6810666666666666,0.025183333333333446,0.2307332335342418
a375,at7867,0.8707999999999999,0.876125,0.005325000000000135,0.04068507022623266
a375,austocystin d,0.5946,0.57386875,0.02073124999999998,0.10951572238953741
a375,axitinib,0.851625,0.8441875,0.007437499999999986,0.05474426548451225
a375,az-3146,1.2932307692307694,0.9191875,0.37404326923076936,2.3372939647890876
a375,azacitidine,0.9375,1.0,0.0625,0.7574865975267213
a375,azd4547,0.8353333333333333,0.752,0.08333333333333326,0.555340783906013
a375,azd6482,0.9723125,0.792,0.1803125,1.0320808461845468
a375,azd7545,1.0705,0.894625,0.175875,2.0535688969147983
a375,azd7762,0.47134375,0.57008125,0.09873749999999998,0.9128674671301332
a375,azd8055,0.59780625,0.6663125,0.06850624999999999,0.3798610449044692
a375,b02,0.9943571428571428,0.9344,0.05995714285714282,0.3732212660764523
a375,barasertib,0.9199375,0.8850625,0.03487499999999999,0.3083283626000712
a375,bax channel blocker,1.1113333333333333,0.8649375,0.24639583333333326,2.027657707379526
a375,bendamustine,1.0744,0.934,0.14039999999999997,1.5898443204669575
a375,betulinic acid,1.1834,0.9724375,0.21096250000000005,1.7328265450823306
a375,bexarotene,0.9258125,1.0435714285714286,0.11775892857142856,1.0981068061493098
a375,bi-2536,0.48021875,0.7313125,0.25109375,1.4161921407031084
a375,bibr-1532,0.9084615384615385,0.902625,0.005836538461538532,0.06118869353389848
a375,birb-796,1.059,0.9116875,0.14731249999999996,1.151954464256451
a375,birinapant,0.9968,0.3164375,0.6803625,4.156663561004277
a375,bix-01294,1.1090833333333332,0.861625,0.24745833333333322,1.445217746524418
a375,bleomycin a2,0.84225,0.7276875,0.11456250000000001,0.9361786320911283
a375,bms-195614,0.9494,0.9722000000000001,0.022800000000000042,0.5074782965830905
a375,bms-270394,0.914125,0.9313125,0.017187500000000022,0.14865126540424867
a375,bms-345541,0.6860666666666667,0.840875,0.15480833333333333,1.2046089205648645
