gene_set,rep,train_mse,val_mse,gap_val_minus_train,best_epoch
hvg5000,X_pca,0.0335,0.0618,0.0283,1
hvg5000,X_scGPT,0.0451,0.0509,0.0058,1
all_genes,X_pca,0.0338,0.0581,0.0243,1
all_genes,X_scGPT,0.0198,0.0518,0.032,22
