rep,heads_beat (mean±std),Δmse model−baseline (mean±std),all_drugs val_mse (mean±std),paclitaxel gap (mean±std)
X_pca,282 ± 26 / 534,-0.00038 ± 0.00013,0.0104 ± 0.0013,+0.012 ± 0.014
X_scGPT,286 ± 26 / 534,-0.00041 ± 0.00024,0.0102 ± 0.0013,+0.007 ± 0.018
