drug,n_lines,spearman,pearson,true_std
wz4002,21,0.24658472475397292,0.37628493531894874,0.07924455328376959
kpt185,22,0.03955921172685843,0.12463349463373466,0.17673704518393218
r428,20,0.17804704642692043,0.24953788177263886,0.09112343723612341
pd 153035,21,0.10152971346028573,0.22509153749594535,0.08616352754077539
lrrk2-in-1,21,0.5205239340752412,0.5345823136240773,0.08667380265446759
jw-74,22,0.03397522111095417,0.024146483333949392,0.06616856951411787
methylstat,22,0.23090042183979162,0.061125475886023795,0.09953671601728611
byl-719,22,0.14810636938749908,0.14550207175331226,0.11988565801600558
ml334 diastereomer,22,0.33125695555072626,0.3161992298485199,0.059134526148353087
hbx-41108,22,0.04171165468277867,0.07775834098518408,0.11686671743691929
ibrutinib,20,0.10458994683906715,0.01458499665529378,0.09844759819039374
etp-46464,21,0.056548613162268085,-0.041156992961139505,0.1183443817552077
a-804598,22,-0.4384048461137745,-0.5256937947938258,0.05141862485507886
tacedinaline,22,-0.0955613055471758,-0.01287726976267755,0.0660671039541205
necrosulfonamide,21,0.18613780801052385,0.23499088092969528,0.1151636394768529
palmostatin b,22,0.11995731108102596,-0.019288850691487724,0.07324279918923057
salermide,22,-0.17189725968249372,-0.05766204006427646,0.11895975779403935
at-406,20,-0.06946077252096006,0.08106371815996018,0.07871382937194037
pitstop2,21,0.04911769357430223,-0.02292310446740181,0.07636106726967717
marinopyrrole a,21,0.07103336601623571,-0.03641854424588256,0.07999236175676201
brd-k55473186,19,0.09074977925264942,0.0072366894376473395,0.09693465388040501
gsk1059615,19,0.04567417227281588,0.0004491682391388474,0.07848332689404176
abt-199,20,-0.16208122758950033,-0.19007379578832337,0.10349915993565492
vaf-347,18,-0.220727284840789,-0.09807320575282458,0.11494245007539998
brd-m00053801,17,-0.6313313573946389,-0.5208201885812422,0.08006828081359567
fqi-1,11,0.13730300661787845,0.07440951288848788,0.08317803241500125
temsirolimus,11,-0.3553539971110001,-0.3917303507999613,0.11815971530129533
teniposide,11,-0.22121929823128123,-0.41180446512484076,0.06258149378269455
cil41,11,-0.4109631884795008,-0.429494824833087,0.08708888587467646
tipifarnib-p2,10,-0.05454545454545454,0.06590126805336818,0.0808492296212474
tigecycline,10,-0.09146511499786561,-0.21469496205838212,0.09459367961132427
brd-k79669418,10,-0.3525852153344375,-0.5784764208575291,0.05525467020048155
cyclophosphamide,11,-0.1336533260147324,-0.4110506125778738,0.05786503990191832
brd-k99584050,10,-0.12805116099701186,-0.2438906488765665,0.053593825024212956
cil70,11,-0.23744539778815602,-0.3185287482676925,0.0975715952726724
cil55a,11,-0.03661413509810092,-0.24414999329434986,0.06402570782403125
brd-k03911514,11,-0.3516018390324618,-0.06619977112952927,0.05646831147607516
elcpk,11,0.33565435760634316,0.27488753114677633,0.07579290010621927
cil56,11,-0.35990981758678214,-0.38388300633105227,0.10357202184124928
cyanoquinoline 11,10,-0.686933264358473,-0.6143356278627726,0.05819242495093481
prima-1-met,10,0.23171162466125958,0.09161683149822059,0.08632318162930155
brd-k42260513,16,-0.08682857391152587,-0.12512092828415733,0.07371817772969977
skepinone-l,16,0.11643359330169344,0.17225798539746434,0.08263198907234037
belinostat,16,0.16801809666320316,0.15503562152129813,0.08894678210155263
brd-k51831558,16,0.25036846003782287,0.3560596672763121,0.05924851148189336
dinaciclib,16,0.033848427118052464,-0.05889652640308225,0.1729665925757481
dabrafenib,16,-0.24354409352352618,0.02665236771887114,0.09748711588908533
mi-2,16,-0.0206338013446039,-0.06139906893649731,0.08465788785675991
brd-k99006945,16,0.230430622855838,0.5619438446992372,0.1996682263328671
pf-3758309,16,0.2848777569169826,0.2520172380221709,0.14575530476904966
mln2480,16,0.032400624240188844,0.2764608921961516,0.05487543731057061
trametinib,16,0.506302870474955,0.4525865239032265,0.23662295137073153
at13387,16,0.1855672115574452,-0.02969400628182589,0.20655447095775267
avicin d,16,-0.41111686284446225,-0.5874084719293513,0.0988221950667807
cediranib,15,0.07001896891737036,-0.03726541567315571,0.10835061860281366
tivantinib,15,-0.1554960406433644,-0.12863912262386662,0.09408658951497983
alvocidib,16,0.08856148855400953,-0.01413390021146367,0.12674696701225227
azd1480,16,-0.2945511294562622,-0.3306423855455856,0.10091333283600662
o-6-benzylguanine,16,0.15599709889189395,0.04076280036682313,0.07245278975356252
brd-a86708339,16,0.06779677584655566,0.10207225014810101,0.10767459915122284
ro4929097,16,0.5381943197622219,0.41550835748900106,0.07281222141154463
docetaxel,14,-0.16923076923076924,-0.13529893437859788,0.21199620980522932
mg-132,15,0.10215119378940318,-0.08617390559035239,0.06149307406549148
qs-11,5,-0.7,-0.8565546288939027,0.08457584681790434
ml312,5,-0.09999999999999999,0.12177673325416875,0.06889163070745935
staurosporine,5,0.09999999999999999,0.006768239294766998,0.06051514468002056
968,5,-0.8999999999999998,-0.9419378927544665,0.061168784647023695
brd-k48334597,5,0.09999999999999999,0.3820573318877218,0.051993231060327036
brd-k13185470,5,-0.3,-0.3902350299500462,0.054246816175731676
neopeltolide,5,-0.7,-0.7169206863617439,0.23010475382561588
brd-k09344309,6,0.11595420713048968,0.2546378210118229,0.0994695819628786
