gene_set,rep,val_mse,heads_beat_baseline,n_heads,baseline_mean_mse
hvg5000,X_pca,0.0103,169,545,0.0097
hvg5000,X_scGPT,0.0105,147,545,0.0097
all_genes,X_pca,0.0106,138,545,0.0097
all_genes,X_scGPT,0.0106,131,545,0.0097
