rep,seed,drug,program,cell_line,n_cells,rho,p,significant
X_pca,42,doxorubicin,SkinPig_score,HT55_LARGE_INTESTINE,211,-0.05383367399519485,0.43662895817468017,False
X_pca,42,doxorubicin,SkinPig_score,HUH28_BILIARY_TRACT,139,-0.25742399503718355,0.002218491841469082,True
X_pca,42,doxorubicin,SkinPig_score,HUH6_LIVER,338,-0.07884552797679777,0.14805380192714576,False
X_pca,42,doxorubicin,SkinPig_score,HUPT3_PANCREAS,136,-0.12018711253473549,0.1633989044608117,False
X_pca,42,doxorubicin,SkinPig_score,HUPT4_PANCREAS,56,-0.31662593817777346,0.01743070009922901,False
X_pca,42,doxorubicin,SkinPig_score,IALM_LUNG,322,-0.10983892369465102,0.048920234528937886,False
X_pca,42,doxorubicin,SkinPig_score,IGR1_SKIN,725,-0.0140326897514163,0.7060187835165034,False
X_pca,42,doxorubicin,SkinPig_score,IGR37_SKIN,347,-0.009778329666627585,0.8559773400405064,False
X_pca,42,doxorubicin,SkinPig_score,IM95_STOMACH,185,-0.20880635580894874,0.004339953347337743,True
X_pca,42,doxorubicin,SkinPig_score,JHH6_LIVER,206,0.02524153627852117,0.718744606217739,False
X_pca,42,doxorubicin,SkinPig_score,JHOC5_OVARY,145,0.09289316875077443,0.2664369650265508,False
X_pca,42,doxorubicin,SkinPig_score,KALS1_CENTRAL_NERVOUS_SYSTEM,288,-0.08340386241591242,0.15803370054327398,False
X_pca,42,doxorubicin,SkinPig_score,KMRC3_KIDNEY,245,-0.032717116369067926,0.6103167240955281,False
X_pca,42,doxorubicin,SkinPig_score,KNS42_CENTRAL_NERVOUS_SYSTEM,172,-0.2628091592262282,0.0004958152639671933,True
X_pca,42,doxorubicin,SkinPig_score,KPL1_BREAST,276,-0.08661625408192067,0.15124577252105195,False
X_pca,42,doxorubicin,SkinPig_score,KPNSI9S_AUTONOMIC_GANGLIA,129,-0.19388823282924,0.027690093153435243,False
X_pca,42,doxorubicin,SkinPig_score,KYSE520_OESOPHAGUS,323,0.0116862446392946,0.8342761656994594,False
X_pca,42,doxorubicin,SkinPig_score,LI7_LIVER,196,-0.11312179874692362,0.11441711656519554,False
X_pca,42,doxorubicin,SkinPig_score,LMSU_STOMACH,255,-0.10089314663884656,0.10798359226692923,False
X_pca,42,doxorubicin,SkinPig_score,LNCAPCLONEFGC_PROSTATE,129,-0.032430196258929816,0.7152255747443729,False
X_pca,42,doxorubicin,SkinPig_score,LS1034_LARGE_INTESTINE,146,-0.1653469069341662,0.04610055377706982,False
X_pca,42,doxorubicin,SkinPig_score,LS180_LARGE_INTESTINE,361,0.006870283527350316,0.8964998040767299,False
X_pca,42,doxorubicin,SkinPig_score,MCF7_BREAST,143,-0.15265284935528875,0.06874013070572904,False
X_pca,42,doxorubicin,SkinPig_score,MDAMB361_BREAST,135,-0.19194088276701393,0.02573467484713304,False
X_pca,42,doxorubicin,SkinPig_score,MFE319_ENDOMETRIUM,191,-0.09709722726177879,0.18146388572738892,False
X_pca,42,doxorubicin,SkinPig_score,MKN45_STOMACH,118,-0.02526930122597157,0.7859171480377506,False
X_pca,42,doxorubicin,SkinPig_score,MKN7_STOMACH,258,0.0049853590673276035,0.9364850995950671,False
X_pca,42,doxorubicin,SkinPig_score,MSTO211H_PLEURA,297,-0.09414741282460797,0.10539054780748822,False
X_pca,42,doxorubicin,SkinPig_score,NCIH1299_LUNG,534,-0.07286036747693705,0.0925727125531205,False
X_pca,42,doxorubicin,SkinPig_score,NCIH1373_LUNG,164,0.04874754120923837,0.5353454495016784,False
X_pca,42,doxorubicin,SkinPig_score,NCIH1435_LUNG,267,0.12345675121204425,0.04384683002760596,False
X_pca,42,doxorubicin,SkinPig_score,NCIH1792_LUNG,111,0.00211041738896909,0.9824615544392721,False
X_pca,42,doxorubicin,SkinPig_score,NCIH1944_LUNG,414,-0.07816448867500575,0.11227868797706105,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2087_LUNG,219,0.06977130782858604,0.3040131857081332,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2110_LUNG,1990,-0.024107237805028933,0.2824238450401489,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2126_LUNG,264,0.12988682872533222,0.03491521694438642,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2170_LUNG,142,-0.06450565088095293,0.44565768594542454,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2228_LUNG,367,-0.1088691741555485,0.03709484115235286,False
X_pca,42,doxorubicin,SkinPig_score,NCIH226_LUNG,235,-0.06719755368115975,0.3049924191260818,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2444_LUNG,237,0.131427009327415,0.043241267649699225,False
X_pca,42,doxorubicin,SkinPig_score,NCIH2452_PLEURA,538,0.04135794617963079,0.33833064314228234,False
X_pca,42,doxorubicin,SkinPig_score,NCIH292_LUNG,213,0.028106083610796542,0.683375280440361,False
X_pca,42,doxorubicin,SkinPig_score,NCIH358_LUNG,336,0.020889172691890934,0.7028177650758813,False
X_pca,42,doxorubicin,SkinPig_score,NCIH446_LUNG,196,-0.16566065478382438,0.0203154068789513,False
X_pca,42,doxorubicin,SkinPig_score,NCIH460_LUNG,837,-0.0262637383486914,0.44795406717758546,False
X_pca,42,doxorubicin,SkinPig_score,NCIH522_LUNG,208,-0.15206654112647516,0.028330001602735,False
X_pca,42,doxorubicin,SkinPig_score,NCIH650_LUNG,271,0.13688101966832017,0.024224643884264582,False
X_pca,42,doxorubicin,SkinPig_score,NCIH747_LARGE_INTESTINE,80,-0.23431026099954388,0.03644133832071101,False
X_pca,42,doxorubicin,SkinPig_score,OAW28_OVARY,161,0.00539601704093249,0.9458375502731773,False
X_pca,42,doxorubicin,SkinPig_score,ONCODG1_OVARY,270,-0.01825036523505051,0.765308108094134,False
X_pca,42,doxorubicin,SkinPig_score,OSRC2_KIDNEY,126,-0.05746262727285596,0.5227471957992279,False
X_pca,42,doxorubicin,SkinPig_score,OUMS23_LARGE_INTESTINE,107,0.07762334530475434,0.42678149259402026,False
X_pca,42,doxorubicin,SkinPig_score,OVCAR4_OVARY,283,-0.00867834695294385,0.8844353506562345,False
X_pca,42,doxorubicin,SkinPig_score,OVK18_OVARY,178,0.0549984732739306,0.46590767041580233,False
X_pca,42,doxorubicin,SkinPig_score,OVSAHO_OVARY,227,-0.10489749396711373,0.11501053366787202,False
X_pca,42,doxorubicin,SkinPig_score,OVTOKO_OVARY,209,-0.20272337049316683,0.0032422086199542805,True
X_pca,42,doxorubicin,SkinPig_score,PANC0203_PANCREAS,506,0.05088203700495105,0.2532576440019994,False
X_pca,42,doxorubicin,SkinPig_score,PATU8988S_PANCREAS,244,-0.06593403870696961,0.30500920768301065,False
X_pca,42,doxorubicin,SkinPig_score,PC3_PROSTATE,169,0.07311277510183935,0.3448238130017078,False
X_pca,42,doxorubicin,SkinPig_score,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.03781213465311336,0.5931565060189997,False
X_pca,42,doxorubicin,SkinPig_score,PK45H_PANCREAS,271,-0.02342956621693984,0.7010012668769265,False
X_pca,42,doxorubicin,SkinPig_score,PK59_PANCREAS,174,-0.023342682634027237,0.7598076051361108,False
X_pca,42,doxorubicin,SkinPig_score,RCC10RGB_KIDNEY,233,-0.05758616805218449,0.3815664729758798,False
X_pca,42,doxorubicin,SkinPig_score,RCM1_LARGE_INTESTINE,128,-0.15916839189388113,0.07272090978902689,False
X_pca,42,doxorubicin,SkinPig_score,RD_SOFT_TISSUE,261,-0.007624884310071987,0.9024283739477192,False
X_pca,42,doxorubicin,SkinPig_score,RERFLCAD1_LUNG,243,0.0035823918771524907,0.9556953617567752,False
X_pca,42,doxorubicin,SkinPig_score,RERFLCAI_LUNG,763,0.030888779807279165,0.39419834873182563,False
X_pca,42,doxorubicin,SkinPig_score,RT4_URINARY_TRACT,106,0.0317864979261011,0.7463442769681886,False
X_pca,42,doxorubicin,SkinPig_score,RVH421_SKIN,239,-0.19596403854785016,0.0023407033160493477,True
X_pca,42,doxorubicin,SkinPig_score,SCC25_UPPER_AERODIGESTIVE_TRACT,898,0.005311562384011438,0.8737089456733566,False
X_pca,42,doxorubicin,SkinPig_score,SCC9_UPPER_AERODIGESTIVE_TRACT,475,-0.3206143859096669,8.122653518801586e-13,True
X_pca,42,doxorubicin,SkinPig_score,SH10TC_STOMACH,351,-0.030618514897828512,0.5675079336694336,False
X_pca,42,doxorubicin,SkinPig_score,SKES1_BONE,91,-0.2747398011566225,0.008400275011818057,False
X_pca,42,doxorubicin,SkinPig_score,SKMEL2_SKIN,276,-0.005262211618610258,0.9306506348600265,False
X_pca,42,doxorubicin,SkinPig_score,SKMEL30_SKIN,353,-0.0005445298788609739,0.9918661058174632,False
X_pca,42,doxorubicin,SkinPig_score,SKMEL5_SKIN,297,-0.0031440916019095334,0.9569702714617556,False
X_pca,42,doxorubicin,SkinPig_score,SKNAS_AUTONOMIC_GANGLIA,226,-0.048981550117109356,0.4637347467234846,False
X_pca,42,doxorubicin,SkinPig_score,SNU1079_BILIARY_TRACT,73,-0.3699544135485178,0.0012754298041004505,True
X_pca,42,doxorubicin,SkinPig_score,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,0.22842415904826815,0.0016165929243227007,True
X_pca,42,doxorubicin,SkinPig_score,SNU308_BILIARY_TRACT,94,-0.17017372116862067,0.10104588385603709,False
X_pca,42,doxorubicin,SkinPig_score,SNU423_LIVER,212,-0.14713453070019206,0.03224881460834818,False
X_pca,42,doxorubicin,SkinPig_score,SNU449_LIVER,282,0.030765962475336632,0.6069196659042277,False
X_pca,42,doxorubicin,SkinPig_score,SNU46_UPPER_AERODIGESTIVE_TRACT,236,-0.0776906752326913,0.2344523757924486,False
X_pca,42,doxorubicin,SkinPig_score,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.025560722740036047,0.619858063719914,False
X_pca,42,doxorubicin,SkinPig_score,SNU899_UPPER_AERODIGESTIVE_TRACT,83,0.1531801008906535,0.16680371747962727,False
X_pca,42,doxorubicin,SkinPig_score,SNUC4_LARGE_INTESTINE,467,0.040357073057626515,0.38422335574768246,False
X_pca,42,doxorubicin,SkinPig_score,SQ1_LUNG,238,0.033109141557078586,0.611289850777345,False
X_pca,42,doxorubicin,SkinPig_score,SU8686_PANCREAS,82,-0.019438715267022816,0.8623849055563482,False
X_pca,42,doxorubicin,SkinPig_score,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.09395516123211776,0.2914759942997583,False
X_pca,42,doxorubicin,SkinPig_score,SW1271_LUNG,115,0.06161658208347847,0.5130036877118932,False
X_pca,42,doxorubicin,SkinPig_score,SW1990_PANCREAS,307,-0.04477162227930701,0.434417841878649,False
X_pca,42,doxorubicin,SkinPig_score,SW579_THYROID,217,-0.026176259629816977,0.7013942983946589,False
X_pca,42,doxorubicin,SkinPig_score,T47D_BREAST,221,-0.0025581923442283975,0.9698354560897685,False
X_pca,42,doxorubicin,SkinPig_score,TCCSUP_URINARY_TRACT,316,0.047162173894421844,0.40342737362488484,False
X_pca,42,doxorubicin,SkinPig_score,TE10_OESOPHAGUS,219,0.04054725281204701,0.5506034385934947,False
X_pca,42,doxorubicin,SkinPig_score,TE14_OESOPHAGUS,474,0.03501520887890324,0.44692261752158724,False
X_pca,42,doxorubicin,SkinPig_score,TE1_OESOPHAGUS,206,-0.04489675311950071,0.5216579816772902,False
X_pca,42,doxorubicin,SkinPig_score,TE6_OESOPHAGUS,551,-0.0971647687808222,0.022548074899785612,False
X_pca,42,doxorubicin,SkinPig_score,TE9_OESOPHAGUS,248,0.04662595366547978,0.4648070342473198,False
X_pca,42,doxorubicin,SkinPig_score,TM31_CENTRAL_NERVOUS_SYSTEM,116,0.035755955329386656,0.7031626034299678,False
X_pca,42,doxorubicin,SkinPig_score,TOV112D_OVARY,78,-0.13207213132394693,0.2490520637997264,False
X_pca,42,doxorubicin,SkinPig_score,UACC257_SKIN,239,0.11942846343626229,0.0652936975762363,False
X_pca,42,doxorubicin,SkinPig_score,UMUC1_URINARY_TRACT,197,0.11389242931736045,0.11103166135827214,False
X_pca,42,doxorubicin,SkinPig_score,VMCUB1_URINARY_TRACT,478,0.027525742909962708,0.5482801705795558,False
X_pca,42,doxorubicin,SkinPig_score,VMRCRCZ_KIDNEY,300,-0.1237356523262492,0.032156717525777444,False
X_pca,42,doxorubicin,SkinPig_score,YD38_UPPER_AERODIGESTIVE_TRACT,624,-0.0016839699651434142,0.9665136514111587,False
X_pca,42,doxorubicin,SkinPig_score,ZR751_BREAST,309,-0.05214837525974035,0.3609316046522233,False
X_pca,42,doxorubicin,EMTI_score,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.04730010659378186,0.2825838885421453,False
X_pca,42,doxorubicin,EMTI_score,8305C_THYROID,459,0.08373951760757432,0.0730822830533031,False
