rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,NCIH2444_LUNG,237,0.07108053320794672,0.05097405124275067,-0.09647999942306895,-0.11035028294425393,-0.0478402045220577,0.09962722499338181,-0.16563513646671385
X_pca,42,doxorubicin,NCIH2452_PLEURA,538,0.04801643806221534,0.03906922413422864,0.05629723672873156,0.07109294194004506,0.06808902683191007,-0.14761048949472344,0.12617723930333144
X_pca,42,doxorubicin,NCIH292_LUNG,213,0.01206775492040868,-0.011795342786827812,0.07784356220664758,0.08677165496131935,0.034507166433622005,0.004956661037170065,0.047287929222317844
X_pca,42,doxorubicin,NCIH358_LUNG,336,0.07075823808168313,0.05667881744655712,-0.007551741362626004,-0.009878664708367698,-0.05317456802464996,0.010501088521705759,-0.23837510616529972
X_pca,42,doxorubicin,NCIH446_LUNG,196,0.11559091474223726,0.09231699144598038,0.15345500677754062,0.23105598773900018,-0.07285578815673087,-0.06972453961949404,0.29106515024828994
X_pca,42,doxorubicin,NCIH460_LUNG,837,0.04074013158368661,0.03496841155711439,0.07252550889332679,0.118700552458124,0.01438957332271365,-0.07569265776882812,0.1419868649289806
X_pca,42,doxorubicin,NCIH522_LUNG,208,0.1259282826482384,0.10429284409992745,0.12516406534677202,0.15758372641906168,-0.07084753537842782,0.18288579472793534,0.31488337437015507
X_pca,42,doxorubicin,NCIH650_LUNG,271,0.22296667876868548,0.20830567270771727,-0.1340577946087181,-0.09797519379910513,0.24575283988134,0.19527234270166047,-0.35360261125161185
X_pca,42,doxorubicin,NCIH747_LARGE_INTESTINE,80,0.043268050345119935,-0.021376000307236964,0.04538209095171121,0.0848926681488332,0.1476558837318331,0.12327779698873777,0.034564196930955284
X_pca,42,doxorubicin,OAW28_OVARY,161,0.033797975894825805,0.0026301686656265977,0.13237290085116174,0.11794527096806326,-0.07349896480331264,0.02820196141301715,-0.0877275465597068
X_pca,42,doxorubicin,ONCODG1_OVARY,270,0.17458393387826387,0.1589510538380794,0.3262897982139672,0.332894420173754,-0.040202045143128,0.22285252240796735,0.09789173773550375
X_pca,42,doxorubicin,OSRC2_KIDNEY,126,0.04489634625916006,0.005100360686625005,0.1026201724784402,0.03506272234803131,-0.12044994375703039,-0.08013822313713787,0.1195685919858762
X_pca,42,doxorubicin,OUMS23_LARGE_INTESTINE,107,0.0424889941716321,-0.0049125407703662916,-0.15919199043868415,-0.1415391698978801,-0.05397833029643998,0.15732654111035885,-0.009326270055528496
X_pca,42,doxorubicin,OVCAR4_OVARY,283,0.024695748280740615,0.007090978394111325,0.009753053851856751,-0.015092874134560657,-0.017438061948111493,-0.001122972355875827,-0.10660671830128433
X_pca,42,doxorubicin,OVK18_OVARY,178,0.05339067718984203,0.025872964317453784,0.007087780706499687,0.05073426696600484,0.15218915471274957,-0.04883160766258699,-0.10579013051037484
