rep,stage0_within_line_share,stage0_collapse,stage7_median_auroc,stage7_frac_significant,stage1_frac_mil_exceeds,stage1_passes_all_seeds,stage2_median_rho,stage2_frac_significant,stage6_median_r2,stage6_median_r2_adj
X_pca,0.4158,False,0.5182,0.4569,1.0,True,0.2556,0.8295,0.078,0.0539
X_scGPT,0.4613,False,0.5373,0.4837,0.8586,True,0.8605,0.9917,0.2847,0.2656
