rep,model,spearman,pearson,pred_std,train_mse,val_mse,params
X_pca,"MLP (128,64) [current]",0.3563438375632118,0.3493622894264863,0.4897214852064674,0.4994692084971214,0.9639167416449744,74954
X_pca,"MLP (64,32)",0.3426003751658117,0.3453403081561777,0.4329335578641545,0.6150221974911576,0.937902942650668,35434
X_pca,"MLP (32,)",0.3611354626216199,0.3456010281097291,0.3948644211768383,0.5485696284497046,0.9176590095104264,16810
X_pca,linear head,0.3234000167666754,0.3134711012476125,0.4153279071148981,0.3548094314615319,0.9713455813654748,5130
X_scGPT,"MLP (128,64) [current]",0.4024084236206641,0.4023368852908534,0.3866373745937736,0.7289849727167185,0.8267204879374852,74954
X_scGPT,"MLP (64,32)",0.3920575576069499,0.3922067592664567,0.3819718502651995,0.742043403770928,0.823613538429057,35434
X_scGPT,"MLP (32,)",0.401360173482881,0.4064347213305431,0.3778613184117179,0.6639537798813884,0.8216209135110273,16810
X_scGPT,linear head,0.2923353198271378,0.2936538190882587,0.1692078608809374,0.8102906075192795,0.8908595067969944,5130
X_pca,ridge (line-level),0.343407693293408,,,,,5120
X_scGPT,ridge (line-level),0.32021971102922003,,,,,5120
