rep,model,alpha,drug,n_lines,spearman,mse,null_mse,pred_std,true_std
X_pca,mlp,0.0,doxorubicin,152,0.3073114223033236,0.01653742554026862,0.018154687838458947,0.041674609326074676,0.13386251443348074
X_pca,mlp,0.0,platin,149,-0.04405224015962271,0.0039430981493990425,0.0038201971392108312,0.015576258976038078,0.060743123842099046
X_pca,mlp,0.0,etoposide,148,0.20538837700870302,0.008029481512296394,0.008268875600563153,0.02454613572707597,0.09087795052352944
X_pca,mlp,0.0,paclitaxel,147,0.22808634746012438,0.04163453201338143,0.043093335860037094,0.07713535159231852,0.20578935208785706
X_pca,mlp,0.0,gemcitabine,152,0.15757010367758117,0.042893259451965926,0.0424683094272122,0.060091785148414165,0.20540052046319088
X_pca,mlp,0.0,imatinib,149,-0.025358244150190463,0.008391345181820315,0.007884858066916125,0.023725336393688675,0.08768159530809977
X_pca,mlp,0.0,erlotinib,151,0.4331788079470198,0.01263503122133848,0.015615986767353747,0.04611196419220004,0.1241780352309342
X_pca,mlp,0.0,sorafenib,148,0.09143138481585271,0.00923236258843937,0.00931830217985455,0.022968027977906424,0.09476375416618261
X_pca,mlp,0.0,dasatinib,151,0.5140432206343672,0.023771567531960393,0.031114840507505234,0.07731635792613269,0.17585312605855843
X_pca,mlp,0.0,crizotinib,148,0.08375009717291597,0.008294913957057209,0.008207117745661137,0.019125210535518376,0.09005973395728716
X_pca,mlp,0.0,afatinib,140,0.4969626730226761,0.013671877614924392,0.017798552984346974,0.06089318415010199,0.13285641515041072
X_pca,mlp,0.5,doxorubicin,152,0.3250534790423663,0.016345802472221994,0.018154687838458947,0.05461739428108501,0.13386251443348074
X_pca,mlp,0.5,platin,149,0.18196263377471433,0.0036873686228428328,0.0038201971392108312,0.021078957616981746,0.060743123842099046
X_pca,mlp,0.5,etoposide,148,0.23785338550439225,0.008005389409004315,0.008268875600563153,0.03562422767644788,0.09087795052352944
X_pca,mlp,0.5,paclitaxel,147,0.24858140220175445,0.04205418078468883,0.043093335860037094,0.08987153253604796,0.20578935208785706
X_pca,mlp,0.5,gemcitabine,152,0.19435958419617413,0.043310149294255716,0.0424683094272122,0.07908458182558742,0.20540052046319088
X_pca,mlp,0.5,imatinib,149,0.08140032650099766,0.008323153990274525,0.007884858066916125,0.0354147354008605,0.08768159530809977
X_pca,mlp,0.5,erlotinib,151,0.4055245730219588,0.013179072963302221,0.015615986767353747,0.06407208614447862,0.1241780352309342
X_pca,mlp,0.5,sorafenib,148,0.09389680051233264,0.009588716793128326,0.00931830217985455,0.03427545645404474,0.09476375416618261
X_pca,mlp,0.5,dasatinib,151,0.5094771697455559,0.023861497993835235,0.031114840507505234,0.09373602996068969,0.17585312605855843
X_pca,mlp,0.5,crizotinib,148,0.19526758644687697,0.007938006262426717,0.008207117745661137,0.028115755188677292,0.09005973395728716
X_pca,mlp,0.5,afatinib,140,0.4499617327414665,0.014655461092616959,0.017798552984346974,0.08127339101726515,0.13285641515041072
X_pca,mlp,1.0,doxorubicin,152,0.3377039208851892,0.016521330225242725,0.018154687838458947,0.06357501208199429,0.13386251443348074
X_pca,mlp,1.0,platin,149,0.10412479593687649,0.004086694756932475,0.0038201971392108312,0.023021938065819963,0.060743123842099046
X_pca,mlp,1.0,etoposide,148,0.24851834439562148,0.008104260169746974,0.008268875600563153,0.038237496637679225,0.09087795052352944
X_pca,mlp,1.0,paclitaxel,147,0.23354162101715917,0.04370366792445077,0.043093335860037094,0.10084452826128465,0.20578935208785706
X_pca,mlp,1.0,gemcitabine,152,0.2055850573062965,0.04387485917356293,0.0424683094272122,0.08721288284126892,0.20540052046319088
X_pca,mlp,1.0,imatinib,149,0.07168510792671866,0.00872993226346095,0.007884858066916125,0.03865814773754829,0.08768159530809977
X_pca,mlp,1.0,erlotinib,151,0.37637504356918783,0.0140527792887751,0.015615986767353747,0.07103992992455067,0.1241780352309342
X_pca,mlp,1.0,sorafenib,148,0.061761254474581424,0.010301199191300743,0.00931830217985455,0.03871300007389819,0.09476375416618261
X_pca,mlp,1.0,dasatinib,151,0.5021924015336354,0.024445791046588852,0.031114840507505234,0.09962101277327381,0.17585312605855843
X_pca,mlp,1.0,crizotinib,148,0.21065607451034107,0.007939389930684305,0.008207117745661137,0.03204690698314263,0.09005973395728716
X_pca,mlp,1.0,afatinib,140,0.44092628632656194,0.015426247514891021,0.017798552984346974,0.0892385234127771,0.13285641515041072
X_scGPT,mlp,0.0,doxorubicin,152,0.23660973626118273,0.017149846422928314,0.018154687838458947,0.03708428959828353,0.13386251443348074
X_scGPT,mlp,0.0,platin,149,0.08003990567748956,0.0036847358449873273,0.0038201971392108312,0.012485189889842124,0.060743123842099046
X_scGPT,mlp,0.0,etoposide,148,0.09430400130304253,0.008457820232890973,0.008268875600563153,0.025729652667419917,0.09087795052352944
X_scGPT,mlp,0.0,paclitaxel,147,0.19610650628263154,0.04209297863518526,0.043093335860037094,0.0727922068822766,0.20578935208785706
X_scGPT,mlp,0.0,gemcitabine,152,0.13623657898154032,0.04397182647046069,0.0424683094272122,0.05395868102320834,0.20540052046319088
X_scGPT,mlp,0.0,imatinib,149,-0.05224015962270996,0.00828371216540252,0.007884858066916125,0.018214224326092925,0.08768159530809977
X_scGPT,mlp,0.0,erlotinib,151,0.430644823980481,0.012795917266945777,0.015615986767353747,0.047592953886826356,0.1241780352309342
X_scGPT,mlp,0.0,sorafenib,148,0.14626652402299575,0.009171324080085414,0.00931830217985455,0.020668554096638782,0.09476375416618261
X_scGPT,mlp,0.0,dasatinib,151,0.49399790867898213,0.02325908643807808,0.031114840507505234,0.08408997156837156,0.17585312605855843
X_scGPT,mlp,0.0,crizotinib,148,-0.016443508293939747,0.008558995446674928,0.008207117745661137,0.01866181041689388,0.09005973395728716
X_scGPT,mlp,0.0,afatinib,140,0.4044127615840459,0.014412231563418827,0.017798552984346974,0.06595695131422698,0.13285641515041072
X_scGPT,mlp,0.5,doxorubicin,152,0.2303391903990596,0.017399531384036902,0.018154687838458947,0.05021462138793297,0.13386251443348074
X_scGPT,mlp,0.5,platin,149,0.11746417558498096,0.0041988013444182225,0.0038201971392108312,0.026726932367245878,0.060743123842099046
X_scGPT,mlp,0.5,etoposide,148,0.16970648226640558,0.008490200564937761,0.008268875600563153,0.0315787269002338,0.09087795052352944
X_scGPT,mlp,0.5,paclitaxel,147,0.17699038149135998,0.042209917601026624,0.043093335860037094,0.08160225809415586,0.20578935208785706
X_scGPT,mlp,0.5,gemcitabine,152,0.0632590435965254,0.048459580993605124,0.0424683094272122,0.08347748902652088,0.20540052046319088
X_scGPT,mlp,0.5,imatinib,149,-0.139604571013967,0.009519009064411742,0.007884858066916125,0.03173256833764207,0.08768159530809977
X_scGPT,mlp,0.5,erlotinib,151,0.42514464970372945,0.013222555389139436,0.015615986767353747,0.06646893764421503,0.1241780352309342
X_scGPT,mlp,0.5,sorafenib,148,0.10214076561152305,0.009952686502927023,0.00931830217985455,0.03164086286031426,0.09476375416618261
X_scGPT,mlp,0.5,dasatinib,151,0.5003206692227256,0.0235844287828392,0.031114840507505234,0.09132479221778121,0.17585312605855843
X_scGPT,mlp,0.5,crizotinib,148,0.01688402551298045,0.00897950774736726,0.008207117745661137,0.032185388822966524,0.09005973395728716
X_scGPT,mlp,0.5,afatinib,140,0.43086746408344456,0.014122536056536596,0.017798552984346974,0.07980567226892889,0.13285641515041072
X_scGPT,mlp,1.0,doxorubicin,152,0.26547816756538795,0.01801106398744539,0.018154687838458947,0.07128725583920544,0.13386251443348074
X_scGPT,mlp,1.0,platin,149,0.05966987121349538,0.004372793184156091,0.0038201971392108312,0.027931835636757087,0.060743123842099046
X_scGPT,mlp,1.0,etoposide,148,0.17234218192990966,0.008475628897662069,0.008268875600563153,0.04450518645618646,0.09087795052352944
X_scGPT,mlp,1.0,paclitaxel,147,0.22141081534427917,0.043974422927149426,0.043093335860037094,0.1079349301649334,0.20578935208785706
X_scGPT,mlp,1.0,gemcitabine,152,0.09759156363835181,0.048547023781385784,0.0424683094272122,0.1002211477682432,0.20540052046319088
X_scGPT,mlp,1.0,imatinib,149,-0.06851804824959187,0.00968475676467701,0.007884858066916125,0.03853323387570591,0.08768159530809977
X_scGPT,mlp,1.0,erlotinib,151,0.3675496688741721,0.014824267239855582,0.015615986767353747,0.07817737591833164,0.1241780352309342
X_scGPT,mlp,1.0,sorafenib,148,0.02797099249639998,0.010607834556067817,0.00931830217985455,0.036399861073657586,0.09476375416618261
X_scGPT,mlp,1.0,dasatinib,151,0.4840815615196933,0.025236150504575516,0.031114840507505234,0.10048422098251855,0.17585312605855843
X_scGPT,mlp,1.0,crizotinib,148,0.07037540211078083,0.008961725726862818,0.008207117745661137,0.03812292123030657,0.09005973395728716
X_scGPT,mlp,1.0,afatinib,140,0.384505040344624,0.01643074447622504,0.017798552984346974,0.09253966520679884,0.13285641515041072
