scored_on,arch,rep,spearman,sp_lo,sp_hi,vs_null,band,heads
11 panel drugs,linear,X_pca,0.2706684905697492,0.2638056221707975,0.27873612089315053,0.00138740001005311,0.0074652493611765125,534
11 panel drugs,linear,X_scGPT,0.2227371429269387,0.21411774542674006,0.2300618390145526,0.0017060626928222277,0.00797204679390627,534
11 panel drugs,trunk,X_pca,0.20733289650880563,0.20306261830940836,0.21543747727081852,0.0013176002718178637,0.006187429480705081,534
11 panel drugs,trunk,X_scGPT,0.1821781633544527,0.17360522840152118,0.19698880408121947,0.001840746718604564,0.011691787839849144,534
all 534 drugs,linear,X_pca,0.10194122047991484,0.1002361789614407,0.1037972686870975,-4.7760017703718344e-05,0.001780544862828401,534
all 534 drugs,linear,X_scGPT,0.07887301413839455,0.07489826116754682,0.08292671065935757,0.00016590761171248435,0.004014224745905376,534
all 534 drugs,trunk,X_pca,0.06413434265710398,0.05332436549418168,0.07232603180443639,0.00025112498537938917,0.009500833155127356,534
all 534 drugs,trunk,X_scGPT,0.07188021630509708,0.0633514084796881,0.08405402545025638,0.0004281633061406236,0.010351308485284136,534
