rep,model,alpha,loss,seed,line_pooled,line_per_fold,cell_pooled,cell_per_fold
X_pca,mlp,0.5,mae,42,0.27065400051474453,0.29233328835780836,0.23452898540502787,0.24342542684059615
X_pca,mlp,0.5,mae,43,0.2871486831235787,0.29494783517117507,0.25879825907255505,0.2601610514506129
X_pca,mlp,0.5,mae,44,0.2892652302691152,0.300585032865175,0.25668341935831696,0.2601277365930229
X_pca,mlp,0.5,mse,42,0.2675897664203327,0.2996417697556644,0.2400626753212349,0.25887757897944863
X_pca,mlp,0.5,mse,43,0.28148154893401794,0.30098671599716237,0.25138482952225877,0.25845300067234733
X_pca,mlp,0.5,mse,44,0.2771724713427722,0.29476072880868065,0.23224218364232935,0.24210957454191606
X_pca,mlp,0.0,mae,42,0.26154288941349796,0.28825692018212695,0.22558725959047543,0.2486602285828433
X_pca,mlp,0.0,mae,43,0.26360182525208553,0.2945317683047769,0.2373482813697575,0.2505363100013232
X_pca,mlp,0.0,mae,44,0.26009201107292035,0.28774099675265224,0.22092583496049203,0.24604518952207677
X_pca,mlp,0.0,mse,42,0.24209797047119955,0.27822939658612145,0.20387585142013165,0.23662667190502187
X_pca,mlp,0.0,mse,43,0.23649198059686435,0.26834818131737415,0.20288369485078556,0.22316989053690858
X_pca,mlp,0.0,mse,44,0.2634544834836777,0.29062154329095863,0.22175038170734698,0.24659353623381539
X_pca,mlp,1.0,mae,42,0.2775622494339079,0.28470803368953485,0.24837065984277595,0.250582514359822
X_pca,mlp,1.0,mae,43,0.2689966100647448,0.2975203733142505,0.23163638630935157,0.256021463576824
X_pca,mlp,1.0,mae,44,0.28282648916713105,0.29468841538486557,0.2589117307337458,0.25865971485754574
X_pca,mlp,1.0,mse,42,0.257266922970719,0.29486080048983276,0.2283328125722745,0.25906164215483335
X_pca,mlp,1.0,mse,43,0.2857807736215534,0.29390830685169805,0.26357669537315703,0.263349813884337
X_pca,mlp,1.0,mse,44,0.260693247815826,0.2828864779661559,0.23661161042937887,0.24923553607522023
X_scGPT,mlp,0.5,mae,42,0.22923154771425,0.2556235770135514,0.1697301403341182,0.1897451532556797
X_scGPT,mlp,0.5,mae,43,0.24862266007283865,0.27606553578989135,0.21434207555333176,0.23011019423810583
X_scGPT,mlp,0.5,mae,44,0.2407288257686836,0.2601187863766333,0.18358072388254065,0.20586409403921355
X_scGPT,mlp,0.5,mse,42,0.18996426509014228,0.20944221776675712,0.14529500634061188,0.18017658995371474
X_scGPT,mlp,0.5,mse,43,0.18622784267277445,0.2123895245104076,0.14495974079441395,0.1790707947733371
X_scGPT,mlp,0.5,mse,44,0.20200764130590268,0.23020074560111797,0.15162039310615,0.19300672347332196
X_scGPT,mlp,0.0,mae,42,0.23983680242625996,0.26470252710807435,0.18948907937275752,0.20766305870181004
X_scGPT,mlp,0.0,mae,43,0.23830529256828556,0.26922460260207515,0.18526639913759493,0.21809412112769191
X_scGPT,mlp,0.0,mae,44,0.2428378714309618,0.2789245675224541,0.19782708355465398,0.22995455726240863
X_scGPT,mlp,0.0,mse,42,0.19484750439473222,0.23731673729214478,0.14879431484883932,0.20169850446285198
X_scGPT,mlp,0.0,mse,43,0.20380160598258704,0.24013766073844908,0.1605494747462225,0.19999498558951753
X_scGPT,mlp,0.0,mse,44,0.20410815599302012,0.2505260545234671,0.15835447513395548,0.20909857647478794
X_scGPT,mlp,1.0,mae,42,0.22359472529454852,0.2643931827872922,0.18800059054241822,0.21874927607354044
X_scGPT,mlp,1.0,mae,43,0.20614015278739498,0.2387266792038761,0.14284879594548694,0.1747940948251493
X_scGPT,mlp,1.0,mae,44,0.23452670948315427,0.25479068301830304,0.17649038308837056,0.20583621982129224
X_scGPT,mlp,1.0,mse,42,0.19588143048572748,0.23260623016346768,0.1472756537181018,0.19029097122145017
X_scGPT,mlp,1.0,mse,43,0.2109472043046043,0.23436211550321434,0.16680948658953454,0.1898302087445178
X_scGPT,mlp,1.0,mse,44,0.20249842951922029,0.23501598310069075,0.1568684265718241,0.19823971236525872
