arch,rep,mean,lo,hi,band,ridge,minus_ridge
linear,X_pca,0.2608301475172463,0.2545417087840386,0.2689604488895323,0.0072093700527468,0.2725,-0.0117
linear,X_scGPT,0.2291418459056503,0.227564038744321,0.2313526270814749,0.0018942941685769,0.1884,0.0407
trunk,X_pca,0.2429086725544818,0.2287795535829033,0.2634544834836777,0.0173374649503871,0.2725,-0.0296
trunk,X_scGPT,0.2046554654071909,0.203801605982587,0.2060566342459655,0.0011275141316892,0.1884,0.0163
