drug,approval_year,therapeutic_class,target_gene,delivery_type,drug_class,pubchem_cids,master_cpd_id,matched_by,drug_ctrp,compound_status,target,moa_or_pathway,top_test_conc_umol,drug_key,n_auc_cc,n_ln_ic50_cc,coverage
Bendamustine hydrochloride,2008,Leukemia; Lymphoma,DNA synthesis,Single,Cytotoxic,77082,374755,pubchem_parent,bendamustine,FDA,,DNA alkylator,66.0,bendamustine,173,55,0.9558011049723757
Omacetaxine mepesuccinate,2012,Leukemia,RPL3,Single,Cytotoxic,285033,375219,name_dreval+name_ctrp+pubchem_cid,omacetaxine mepesuccinate,FDA,,inhibitor of protein translation by preventing protein elongation,66.0,omacetaxine mepesuccinate,125,123,0.6906077348066298
Thalidomide,1998,Multiple myeloma,CRBN,Combination,Targeted,5426,24197,name_dreval+name_ctrp+pubchem_cid,thalidomide,FDA,CRBN,immunomodulatory drug; binder of cereblon,66.0,thalidomide,82,3,0.4530386740331492
Bexarotene,1999,Lymphoma,RXRA; RXRB; RXRG,Single,Targeted,82146,374747,name_dreval+name_ctrp+pubchem_cid,bexarotene,FDA,RXRA;RXRB;RXRG,inhibitor of retinoid X receptors,66.0,bexarotene,174,25,0.9613259668508287
Imatinib mesylate,2001,Leukemia; Stomach cancer,BCR-ABL,Single,Targeted,123596,345041,pubchem_parent,imatinib,FDA,ABL1;BCR;KIT,inhibitor of BCR-ABL1 and c-KIT,66.0,imatinib,176,100,0.9723756906077348
Fulvestrant,2002,Breast cancer,ESR1,Single,Targeted,104741,464880,name_dreval+name_ctrp+pubchem_cid,fulvestrant,FDA,ESR1;GPER1,antagonist of the estrogen receptor,66.0,fulvestrant,52,0,0.287292817679558
Bortezomib,2003,Multiple myeloma; Lymphoma,PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,Single,Targeted,387447,411737,name_dreval+name_ctrp+pubchem_cid,bortezomib,FDA,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of 26S proteasome,0.13,bortezomib,176,166,0.9723756906077348
Gefitinib,2003,Lung cancer,EGFR,Single,Targeted,123631,52926,name_dreval+name_ctrp+pubchem_cid,gefitinib,FDA,AKT1;EGFR,inhibitor of EGFR and AKT1,66.0,gefitinib,179,153,0.988950276243094
Erlotinib hydrochloride,2004,Pancreatic cancer; Lung cancer,EGFR,Both,Targeted,176871,52928,pubchem_parent,erlotinib,FDA,EGFR;ERBB2,inhibitor of EGFR and HER2,66.0,erlotinib,176,81,0.9723756906077348
Azacitidine,2004,Leukemia,DNMT1,Single,Targeted,9444,26874,name_dreval+name_ctrp+pubchem_cid,azacitidine,FDA,DNMT1,inhibitor of DNA methyltransferase,66.0,azacitidine,173,84,0.9558011049723757
Sorafenib tosylate,2005,Liver cancer; Kidney cancer; Thyroid cancer,BRAF; FGFR1; FLT1; FLT3; FLT4; KDR; KIT; PDGFRB; RAF1; RET,Single,Targeted,406563,349006,pubchem_parent,sorafenib,FDA,BRAF;FLT3;KDR;RAF1,"inhibitor of BRAF, CRAF, and VEGFR2",66.0,sorafenib,173,118,0.9558011049723757
Dasatinib,2006,Leukemia,BCR-ABL,Single,Targeted,3062316,52882,name_dreval+name_ctrp+pubchem_cid,dasatinib,FDA,EPHA2;KIT;LCK;SRC;YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK",66.0,dasatinib,178,172,0.9834254143646409
Decitabine,2006,Leukemia,DNMT1,Single,Targeted,451668,347775,name_dreval+name_ctrp+pubchem_cid,decitabine,FDA,DNMT1,inhibitor of DNA methyltransferase,66.0,decitabine,180,5,0.994475138121547
Sunitinib malate,2006,Stomach cancer; Kidney cancer; Pancreatic cancer,CSF1R; FLT1; FLT3; FLT4; KDR; KIT; PDGFRA; PDGFRB,Single,Targeted,6456015,374750,pubchem_parent,sunitinib,FDA,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",66.0,sunitinib,174,172,0.9613259668508287
Vorinostat,2006,Lymphoma,HDAC1; HDAC2; HDAC3; HDAC6,Single,Targeted,5311,56554,name_dreval+name_ctrp+pubchem_cid,vorinostat,FDA,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",33.0,vorinostat,176,162,0.9723756906077348
Lapatinib ditosylate,2007,Breast cancer,EGFR; ERBB2,Combination,Targeted,11557040,634309,pubchem_parent,lapatinib,FDA,EGFR;ERBB2,inhibitor of EGFR and HER2,66.0,lapatinib,172,58,0.9502762430939227
Nilotinib,2007,Leukemia,BCR-ABL,Single,Targeted,644241,374749,name_dreval+name_ctrp+pubchem_cid,nilotinib,FDA,ABL1;BCR;KIT,"inhibitor of ABL1, BCR, and c-KIT",66.0,nilotinib,177,39,0.9779005524861878
Temsirolimus,2007,Kidney cancer,MTOR,Single,Targeted,6918289,660358,name_dreval+name_ctrp+pubchem_cid,temsirolimus,FDA,MTOR,inhibitor of mTOR,66.0,temsirolimus,97,45,0.5359116022099447
Pazopanib hydrochloride,2009,Kidney cancer; Sarcoma,FGF1; FGFR3; FLT1; FLT4; ITK; KDR; KIT; PDGFRA; PDGFRB; SH2B3,Single,Targeted,11525740,640265,pubchem_parent,pazopanib,FDA,FLT1;FLT3;KDR;KIT;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFRB",66.0,pazopanib,179,89,0.988950276243094
Crizotinib,2011,Lung cancer,ALK; MET,Single,Targeted,11626560,628603,name_dreval+name_ctrp+pubchem_cid,crizotinib,FDA,ALK;MET,inhibitor of c-MET and ALK,66.0,crizotinib,174,174,0.9613259668508287
Ruxolitinib phosphate,2011,Myelofibrosis,JAK1; JAK2,Single,Targeted,25127112,639450,pubchem_parent,ruxolitinib,FDA,JAK1;JAK2,inhibitor of Janus kinases 1 and 2,66.0,ruxolitinib,177,158,0.9779005524861878
Vandetanib,2011,Thyroid cancer,EGFR; PTK6; TEK; VEGFA,Single,Targeted,3081361,349002,name_dreval+name_ctrp+pubchem_cid,vandetanib,FDA,EGFR;KDR,inhibitor of VEGFR2 and EGFR,66.0,vandetanib,173,115,0.9558011049723757
Vemurafenib,2011,Melanoma,BRAF,Single,Targeted,42611257,649420,pubchem_cid,plx-4032,FDA,BRAF,inhibitor of BRAF,33.0,plx-4032,176,42,0.9723756906077348
Axitinib,2012,Kidney cancer,FLT1; FLT4; KDR,Single,Targeted,6450551,348990,name_dreval+name_ctrp+pubchem_cid,axitinib,FDA,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",66.0,axitinib,178,100,0.9834254143646409
Bosutinib,2012,Leukemia,BCR-ABL,Single,Targeted,5328940,660346,name_dreval+name_ctrp+pubchem_cid,bosutinib,FDA,ABL1;SRC,inhibitor of SRC and ABL1,66.0,bosutinib,174,158,0.9613259668508287
Cabozantinib,2012,Thyroid cancer,KDR; MET; RET,Single,Targeted,25102847,660840,name_dreval+name_ctrp+pubchem_cid,cabozantinib,FDA,FLT3;KDR;MET;RET,"inhibitor of c-MET, VEGFR2/3, and RET",66.0,cabozantinib,171,107,0.9447513812154696
Regorafenib,2012,Colorectal cancer; Stomach cancer,RET; FLT1; KDR; FLT4; KIT; PDGFRA; PDGFRB; FGFR1; FGFR2; TEK; DDR2; NTRK1; EPHA2; RAF1; BRAF; MAPK11; FRK; ABL1,Single,Targeted,11167602,628613,name_dreval+name_ctrp+pubchem_cid,regorafenib,FDA,BRAF;KDR;KIT;RET,"inhibitor of BRAF, RET, KIT, and VEGFR2",66.0,regorafenib,175,69,0.9668508287292817
Dabrafenib,2013,Melanoma,BRAF; LIMK1; NEK11; RAF1; SIK1,Both,Targeted,44462760,687954,name_dreval+name_ctrp+pubchem_cid,dabrafenib,clinical,BRAF,inhibitor of BRAF,66.0,dabrafenib,83,30,0.4585635359116022
Trametinib,2013,Melanoma,MAP2K1; MAP2K2,Both,Targeted,11707110,687418,name_dreval+name_ctrp+pubchem_cid,trametinib,clinical,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,66.0,trametinib,82,38,0.4530386740331492
Afatinib,2013,Lung cancer,EGFR; ERBB2; ERBB4,Single,Targeted,10184653,606135,name_dreval+name_ctrp+pubchem_cid,afatinib,clinical,EGFR;ERBB2,inhibitor of EGFR and HER2,66.0,afatinib,165,163,0.9116022099447514
Ibrutinib,2013,Lymphoma,BTK,Single,Targeted,24821094,660994,name_dreval+name_ctrp+pubchem_cid,ibrutinib,clinical,BTK,inhibitor of Bruton's tyrosine kinase,66.0,ibrutinib,122,117,0.6740331491712708
Idelalisib,2014,Leukemia; Lymphoma,PIK3CD,Both,Targeted,11625818,660430,name_dreval+pubchem_cid,idelalisib,clinical,PIK3CD,inhibitor of PI3K catalytic subunit delta,66.0,idelalisib,175,113,0.9668508287292817
Belinostat,2014,Lymphoma,HDAC1; HDAC2; HDAC3; HDAC6,Single,Targeted,6918638,60225,name_dreval+name_ctrp+pubchem_cid,belinostat,clinical,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",66.0,belinostat,83,83,0.4585635359116022
Olaparib,2014,Ovarian cancer,PARP1; PARP2; PARP3,Single,Targeted,23725625,411867,name_dreval+name_ctrp+pubchem_cid,olaparib,clinical,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 and 2,150.0,olaparib,175,100,0.9668508287292817
