rep,model,alpha,drug,n_lines,spearman,mse,ridge_alpha_median,ridge_alpha_min,ridge_alpha_max,ridge_alpha_n_fits,ridge_alpha_at_edge
X_pca,ridge,,doxorubicin,152,0.3781463788024795,0.01493072611987646,1000.0,316.22776601683796,1000.0,5,0
X_pca,ridge,,platin,149,0.03576999818610557,0.003688703556691504,3162.2776601683795,3162.2776601683795,10000.0,5,2
X_pca,ridge,,etoposide,148,0.27809222727727045,0.007762655228909555,3162.2776601683795,316.22776601683796,3162.2776601683795,5,0
X_pca,ridge,,paclitaxel,147,0.24983188388276453,0.040681883992130775,1000.0,316.22776601683796,1000.0,5,0
X_pca,ridge,,gemcitabine,152,0.17721553591809674,0.04187612335704155,3162.2776601683795,316.22776601683796,3162.2776601683795,5,0
X_pca,ridge,,imatinib,149,0.09750045347360785,0.007999083205318332,3162.2776601683795,316.22776601683796,10000.0,5,2
X_pca,ridge,,erlotinib,151,0.4364308121296618,0.013371708418466013,1000.0,1000.0,3162.2776601683795,5,0
X_pca,ridge,,sorafenib,148,0.10510592773296515,0.009070840051344398,10000.0,3162.2776601683795,10000.0,5,4
X_pca,ridge,,dasatinib,151,0.557176716626002,0.021711867786963667,1000.0,1000.0,1000.0,5,0
X_pca,ridge,,crizotinib,148,0.2636180900802186,0.007583113674583395,1000.0,1000.0,1000.0,5,0
X_pca,ridge,,afatinib,140,0.46428462093547046,0.013966093821517436,1000.0,1000.0,1000.0,5,0
X_scGPT,ridge,,doxorubicin,152,0.28217114660433706,0.016107784917766405,0.03162277660168379,0.03162277660168379,0.1,5,0
X_scGPT,ridge,,platin,149,-0.04376564483947035,0.0038639929397476084,1.0,0.1,1.0,5,0
X_scGPT,ridge,,etoposide,148,0.20353006067291782,0.008051124830344841,0.1,0.03162277660168379,0.31622776601683794,5,0
X_scGPT,ridge,,paclitaxel,147,0.3120008462474216,0.03838064902091445,0.1,0.1,0.1,5,0
X_scGPT,ridge,,gemcitabine,152,-0.010154209691383304,0.04338338211882551,0.31622776601683794,0.1,10000.0,5,1
X_scGPT,ridge,,imatinib,149,-0.028030517405707032,0.008040449623387555,10.0,0.1,10000.0,5,2
X_scGPT,ridge,,erlotinib,151,0.42018124782154054,0.012806993479607719,0.1,0.1,0.1,5,0
X_scGPT,ridge,,sorafenib,148,0.06200187312363727,0.009088739858887347,1.0,0.31622776601683794,1.0,5,0
X_scGPT,ridge,,dasatinib,151,0.5441582432903449,0.02172263404283656,0.1,0.1,0.1,5,0
X_scGPT,ridge,,crizotinib,148,-0.07301170989916751,0.008375648881567346,1.0,0.1,10000.0,5,1
X_scGPT,ridge,,afatinib,140,0.4359668496206075,0.013817021052086582,0.1,0.03162277660168379,0.1,5,0
