drug,n_lines,mean,sigma,skew,w_min,w_max,w_sensitive_decile,w_mid_50pct,tail_vs_mid
methotrexate,170,0.604,0.195,0.307,0.799,3.0,1.14,0.838,1.36
dasatinib,177,0.631,0.155,-0.148,0.794,3.0,1.655,0.846,1.957
paclitaxel,170,0.562,0.219,0.132,0.8,2.664,1.325,0.826,1.603
vincristine,178,0.568,0.191,-0.268,0.774,3.0,1.592,0.814,1.955
afatinib,164,0.695,0.144,-0.39,0.655,3.0,1.837,0.689,2.667
topotecan,175,0.631,0.145,0.178,0.757,3.0,1.487,0.792,1.877
tanespimycin,173,0.708,0.159,0.187,0.744,3.0,1.59,0.77,2.066
selumetinib,175,0.762,0.16,-0.47,0.742,2.386,1.816,0.786,2.311
