budget,rep,mean,lo,hi,band,labelled_lines
25,X_pca,0.1373835974082638,0.12328696382060103,0.145594786918716,0.011153911549057482,25
25,X_scGPT,0.13382229738303839,0.11665963290369072,0.1625807749010228,0.02296057099866604,25
50,X_pca,0.1947498254809963,0.18547434859147635,0.20468555023607934,0.009605600822301497,50
50,X_scGPT,0.18570008607152835,0.17571617590213826,0.1926649503605566,0.00847438722920918,50
75,X_pca,0.2469316156427823,0.2345630308086048,0.2616405091019303,0.01353873914666276,75
75,X_scGPT,0.19640973518053154,0.17579428110119275,0.2120335228587401,0.018119620878773682,75
0,X_pca,0.26083553189516,0.25454170878403864,0.26896044888953236,0.007209370052746855,103
0,X_scGPT,0.22914184590565032,0.22756403874432107,0.23135262708147497,0.0018942941685769488,103
