rep,model,alpha,loss,seed,order,order_n_drugs,top_of_order,top_of_order_n_drugs,values,values_n_drugs,spread_slope,spread_slope_n_drugs,spread_intercept,spread_intercept_n_drugs,values_null
X_pca,mlp,0.0,mse,42,0.2420979704711996,11,0.21363636363636368,11,0.09330882773859166,11,0.6973616822283822,11,0.25307061701615524,11,0.10022381433996223
X_pca,mlp,0.0,mse,43,0.23649198059686435,11,0.21818181818181817,11,0.09318167664729442,11,0.6406151764010841,11,0.30453893792592807,11,0.10022381433996223
X_pca,mlp,0.0,mse,44,0.2634544834836777,11,0.23181818181818184,11,0.09329538054164774,11,0.7033681479133992,11,0.23891005222348582,11,0.10022381433996223
X_pca,mlp,0.0,mae,42,0.261542889413498,11,0.23636363636363636,11,0.09268961484999547,11,0.6891438169518772,11,0.26127878456937764,11,0.10022381433996223
X_pca,mlp,0.0,mae,43,0.26360182525208553,11,0.22272727272727277,11,0.09245768608306007,11,0.6381569639341865,11,0.2989078863935099,11,0.10022381433996223
X_pca,mlp,0.0,mae,44,0.26009201107292035,11,0.22272727272727275,11,0.09292238489480535,11,0.7027467819977513,11,0.2350225351995517,11,0.10022381433996223
X_pca,mlp,0.5,mse,42,0.26758976642033266,11,0.2909090909090909,11,0.09412808975470513,11,0.6012659862882522,11,0.3262877658697506,11,0.10022381433996223
X_pca,mlp,0.5,mse,43,0.28148154893401794,11,0.2409090909090909,11,0.09420875905508473,11,0.5769713891105437,11,0.3527359882203093,11,0.10022381433996223
X_pca,mlp,0.5,mse,44,0.2771724713427722,11,0.2590909090909091,11,0.09512421471634322,11,0.5965183748948293,11,0.3282445544130748,11,0.10022381433996223
X_pca,mlp,0.5,mae,42,0.2706540005147446,11,0.22272727272727275,11,0.0944443869070168,11,0.5373529791541648,11,0.38294722360714495,11,0.10022381433996223
X_pca,mlp,0.5,mae,43,0.2871486831235788,11,0.24545454545454543,11,0.09469480712849694,11,0.5732013481972208,11,0.3470071044673588,11,0.10022381433996223
X_pca,mlp,0.5,mae,44,0.2892652302691152,11,0.23636363636363633,11,0.09400267812937466,11,0.5716039330824197,11,0.3530520162795901,11,0.10022381433996223
X_pca,mlp,1.0,mse,42,0.257266922970719,11,0.24999999999999997,11,0.09651244923756329,11,0.5038659528529131,11,0.40584671442305653,11,0.10022381433996223
X_pca,mlp,1.0,mse,43,0.2857807736215534,11,0.23181818181818184,11,0.09538917905348397,11,0.5268110411290314,11,0.39049567798518664,11,0.10022381433996223
X_pca,mlp,1.0,mse,44,0.26069324781582603,11,0.24545454545454543,11,0.09792634197374182,11,0.5230044053300825,11,0.38323872233696066,11,0.10022381433996223
X_pca,mlp,1.0,mae,42,0.2775622494339079,11,0.23636363636363636,11,0.09639924413164351,11,0.5004739692728258,11,0.40501741821463905,11,0.10022381433996223
X_pca,mlp,1.0,mae,43,0.2689966100647448,11,0.24545454545454548,11,0.09723016834534631,11,0.466176511194722,11,0.44011850840983746,11,0.10022381433996223
X_pca,mlp,1.0,mae,44,0.28282648916713105,11,0.22727272727272732,11,0.09619871044781468,11,0.4981067882827758,11,0.4067005739059581,11,0.10022381433996223
X_scGPT,mlp,0.0,mse,42,0.19484750439473225,11,0.21363636363636365,11,0.09431647270186477,11,0.49380695863766816,11,0.4237423639722611,11,0.10022381433996223
X_scGPT,mlp,0.0,mse,43,0.20380160598258704,11,0.20909090909090908,11,0.09437509017115846,11,0.4877670883957163,11,0.4138791232958469,11,0.10022381433996223
X_scGPT,mlp,0.0,mse,44,0.20410815599302012,11,0.24545454545454548,11,0.09458439011906306,11,0.502178149957716,11,0.4058358006674028,11,0.10022381433996223
X_scGPT,mlp,0.0,mae,42,0.23983680242626002,11,0.24545454545454548,11,0.09309915328226787,11,0.578689868804222,11,0.339677201010951,11,0.10022381433996223
X_scGPT,mlp,0.0,mae,43,0.23830529256828556,11,0.2318181818181818,11,0.09298266616546047,11,0.5878909561807264,11,0.339052236865766,11,0.10022381433996223
X_scGPT,mlp,0.0,mae,44,0.2428378714309618,11,0.23636363636363636,11,0.09346166747057433,11,0.6058599531913711,11,0.3138589760211133,11,0.10022381433996223
X_scGPT,mlp,0.5,mse,42,0.18996426509014228,11,0.21818181818181823,11,0.09714561864327752,11,0.3938837458239634,11,0.5053689775552027,11,0.10022381433996223
X_scGPT,mlp,0.5,mse,43,0.18622784267277448,11,0.21363636363636365,11,0.09751905679538052,11,0.3676486206716529,11,0.5133797275141588,11,0.10022381433996223
X_scGPT,mlp,0.5,mse,44,0.2020127429529966,11,0.23636363636363633,11,0.09682377603981625,11,0.4304098578231294,11,0.4724906313785487,11,0.10022381433996223
X_scGPT,mlp,0.5,mae,42,0.22923154771425,11,0.23181818181818184,11,0.09629854686076596,11,0.4721779285189127,11,0.4330186784261016,11,0.10022381433996223
X_scGPT,mlp,0.5,mae,43,0.24862266007283854,11,0.2590909090909091,11,0.09611933664952814,11,0.4654461481126839,11,0.4321064702485131,11,0.10022381433996223
X_scGPT,mlp,0.5,mae,44,0.24072882576868365,11,0.2590909090909091,11,0.09530961046911392,11,0.48709371780105837,11,0.42327363558829456,11,0.10022381433996223
