rep,alpha,loss,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,0.0,mse,42,doxorubicin,A375_SKIN,593,0.03261339358273951,0.611778038549182
X_pca,0.0,mse,42,doxorubicin,FTC133_THYROID,140,0.0337367474105341,0.6223094548497882
X_pca,0.0,mse,42,doxorubicin,OVK18_OVARY,178,0.02340352520559109,0.5657579088478946
X_pca,0.0,mse,42,doxorubicin,ACCMESO1_PLEURA,162,0.030469821365164303,0.5882494460653376
X_pca,0.0,mse,42,doxorubicin,HMC18_BREAST,293,0.031376364807908994,0.5526169848726878
X_pca,0.0,mse,42,doxorubicin,TOV112D_OVARY,78,0.03696753363584081,0.5096746641091812
X_pca,0.0,mse,42,doxorubicin,JHH6_LIVER,206,0.02997946876523998,0.573344219078138
X_pca,0.0,mse,42,doxorubicin,A2058_SKIN,294,0.02956113515434083,0.5918510850189495
X_pca,0.0,mse,42,doxorubicin,NCIH2110_LUNG,1990,0.02579740468984397,0.5422901808766264
X_pca,0.0,mse,42,doxorubicin,NCIH650_LUNG,271,0.03130521951867961,0.6241483107704078
X_pca,0.0,mse,42,doxorubicin,EFE184_ENDOMETRIUM,86,0.020590230436516758,0.6041494400002235
X_pca,0.0,mse,42,doxorubicin,HUPT3_PANCREAS,136,0.037631072004062724,0.6606344177442438
X_pca,0.0,mse,42,doxorubicin,MDAMB361_BREAST,135,0.02664111971435323,0.6430679833447491
X_pca,0.0,mse,42,doxorubicin,BCPAP_THYROID,152,0.019285291976468923,0.561682254076004
X_pca,0.0,mse,42,doxorubicin,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.020623341945659814,0.5253939866134436
X_pca,0.0,mse,42,doxorubicin,EKVX_LUNG,146,0.03335343847438831,0.5352928262867339
X_pca,0.0,mse,42,doxorubicin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.017734087786739006,0.49276882667600375
X_pca,0.0,mse,42,doxorubicin,NCIH2170_LUNG,142,0.022806295652726686,0.542692879765806
X_pca,0.0,mse,42,doxorubicin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.02797383217945034,0.49294487208676485
X_pca,0.0,mse,42,doxorubicin,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.019599830605763174,0.5567041072063148
X_pca,0.0,mse,42,doxorubicin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.02494134571317691,0.526891266477519
X_pca,0.0,mse,42,doxorubicin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.02171777783999522,0.5405609721976116
X_pca,0.0,mse,42,doxorubicin,HCC1428_BREAST,127,0.020631640874647236,0.633786465708665
X_pca,0.0,mse,42,doxorubicin,HDQP1_BREAST,64,0.029954826312261085,0.608075781725347
X_pca,0.0,mse,42,doxorubicin,OSRC2_KIDNEY,126,0.02293864119134679,0.651581000714075
X_pca,0.0,mse,42,doxorubicin,HUPT4_PANCREAS,56,0.030461366573386932,0.6073051754917417
X_pca,0.0,mse,42,doxorubicin,TCCSUP_URINARY_TRACT,316,0.028118601013429483,0.5750225009043005
X_pca,0.0,mse,42,doxorubicin,VMRCRCZ_KIDNEY,300,0.022030090389733796,0.6007634886105855
X_pca,0.0,mse,42,doxorubicin,PK59_PANCREAS,174,0.028501215086635792,0.6622124214967092
X_pca,0.0,mse,42,doxorubicin,HUH6_LIVER,338,0.01702776905636681,0.6088267517160382
X_pca,0.0,mse,42,doxorubicin,MSTO211H_PLEURA,297,0.025782726267116092,0.535384785045277
X_pca,0.0,mse,42,doxorubicin,HS852T_SKIN,162,0.02567753286964856,0.6164442878446461
X_pca,0.0,mse,42,doxorubicin,SKMEL30_SKIN,353,0.02963602015340934,0.5670942849039018
X_pca,0.0,mse,42,doxorubicin,T47D_BREAST,221,0.03405430057458222,0.6962669497161968
X_pca,0.0,mse,42,doxorubicin,CALU6_LUNG,258,0.02923491137315406,0.6018977941468705
X_pca,0.0,mse,42,doxorubicin,NCIH522_LUNG,208,0.027308801315378276,0.5426519630620112
X_pca,0.0,mse,42,doxorubicin,LMSU_STOMACH,255,0.02203420220528766,0.5017982974940656
X_pca,0.0,mse,42,doxorubicin,SNUC4_LARGE_INTESTINE,467,0.01626573729809375,0.5831122509417238
X_pca,0.0,mse,42,doxorubicin,RVH421_SKIN,239,0.017354750938399884,0.5908899197518576
X_pca,0.0,mse,42,doxorubicin,OVSAHO_OVARY,227,0.028247022513677805,0.5678890586424504
X_pca,0.0,mse,42,doxorubicin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.025401707167438864,0.5617755286356542
X_pca,0.0,mse,42,doxorubicin,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.03638488915830316,0.615712307059356
X_pca,0.0,mse,42,doxorubicin,PC3_PROSTATE,169,0.042595292920488574,0.6240057218709641
X_pca,0.0,mse,42,doxorubicin,PATU8988S_PANCREAS,244,0.02259921682549605,0.6377428332801724
X_pca,0.0,mse,42,doxorubicin,OVTOKO_OVARY,209,0.02304761004025255,0.615290257919348
X_pca,0.0,mse,42,doxorubicin,TE1_OESOPHAGUS,206,0.022023237602860124,0.5928049897684634
X_pca,0.0,mse,42,doxorubicin,NCIH2087_LUNG,219,0.03231743489742377,0.5864185418712494
X_pca,0.0,mse,42,doxorubicin,EFM192A_BREAST,333,0.021013086055450325,0.6078263857701162
X_pca,0.0,mse,42,doxorubicin,SNU423_LIVER,212,0.014430947146031131,0.5932749785342306
X_pca,0.0,mse,42,doxorubicin,KPL1_BREAST,276,0.02057677031443177,0.6285695412020752
X_pca,0.0,mse,42,doxorubicin,NCIH358_LUNG,336,0.038005212433327995,0.594034462812401
X_pca,0.0,mse,42,doxorubicin,COLO792_SKIN,271,0.02442921224580653,0.6089660523122528
X_pca,0.0,mse,42,doxorubicin,KYSE520_OESOPHAGUS,323,0.024773983285061904,0.5305046145760977
X_pca,0.0,mse,42,doxorubicin,KMRC3_KIDNEY,245,0.03380821274905553,0.6999099505190947
X_pca,0.0,mse,42,doxorubicin,MKN7_STOMACH,258,0.034686674833030326,0.6692675100278485
X_pca,0.0,mse,42,doxorubicin,NCIH1944_LUNG,414,0.02559971419479382,0.5361717257666703
X_pca,0.0,mse,42,doxorubicin,TE6_OESOPHAGUS,551,0.03065691238185014,0.5285513422125697
X_pca,0.0,mse,42,doxorubicin,ZR751_BREAST,309,0.029277710962923517,0.6425775243240652
