rep,alpha,grouping,drug,n,Pearson,Spearman,Kendall,R^2,MSE,RMSE,MAE,Pearson: normalized,Spearman: normalized,Kendall: normalized,R^2: normalized
X_pca,0.0,pooled,,1635,0.7387301085403932,0.7681475362176154,0.5713114662055181,0.5442402789767151,0.01723879623946747,0.13129659645043154,0.09399747581890104,0.2911839859119242,0.29682398138939653,0.20744126157082488,0.08068528826109334
X_pca,0.0,per_drug,doxorubicin,152,0.28302094901752484,0.3073114223033236,0.19937260369466717,0.07710998983521844,0.01653742554026862,0.12859792199047626,0.10375895750356515,0.3022446649360898,0.3228049672291363,0.21000348553502965,0.0890823520360321
X_pca,0.0,per_drug,platin,149,-0.0048882226644917336,-0.04405224015962271,-0.029747868674043165,-0.06866932129149772,0.003943098149399043,0.06279409326838825,0.045244844356248884,0.051555907099374305,0.024893887175766374,0.014692544893887173,-0.03217566184643306
X_pca,0.0,per_drug,etoposide,148,0.1976582187215699,0.20538837700870302,0.13403199117484832,0.0277667853130924,0.008029481512296394,0.0896073742071287,0.06951975790571728,0.20002478632511722,0.2095381232485739,0.1378929950358522,0.02895122574422382
X_pca,0.0,per_drug,paclitaxel,147,0.21281496036208764,0.22808634746012438,0.14509365389991613,0.016876929199849733,0.04163453201338144,0.2040454165458794,0.1642533276774213,0.23216938454459385,0.24146007903346456,0.1555307054328581,0.03385203304699691
X_pca,0.0,per_drug,gemcitabine,152,0.12027434971015993,0.15757010367758117,0.10421749738584875,-0.016683955743068246,0.04289325945196593,0.20710687929657462,0.1600643273424501,0.13014651166947702,0.17091765252632946,0.1153712094806553,-0.010007697094647439
X_pca,0.0,per_drug,imatinib,149,0.005361762438151292,-0.025358244150190463,-0.021585343732994738,-0.09147728150439027,0.008391345181820315,0.09160428582670309,0.0649632790910405,0.03298212780850529,-0.00834754217304553,-0.007255577725376382,-0.06423771774658826
X_pca,0.0,per_drug,erlotinib,151,0.42896464071938994,0.4331788079470198,0.296953642384106,0.18061737357492647,0.012635031221338482,0.11240565475694932,0.0802686730926885,0.4420690466007065,0.44757058208434986,0.30136865342163355,0.1908912386379059
X_pca,0.0,per_drug,sorafenib,148,0.06925843401828355,0.09143138481585271,0.06085677514248943,-0.02808337814792905,0.00923236258843937,0.096085184021468,0.07531468229804655,0.14062456216216143,0.1806897981394626,0.1196911196911197,0.009218492246954701
X_pca,0.0,per_drug,dasatinib,151,0.4841959697998889,0.5140432206343672,0.3562913907284768,0.23129866599592297,0.023771567531960396,0.15418030850909722,0.11743131514608865,0.489696110217673,0.5227884280237016,0.3615894039735099,0.23600541435298783
