algorithm,fold,n_scored,Pearson,Spearman,R^2,MSE,per_drug_Spearman,n_drugs_scored
NaivePredictor,1,384,0.0,0.0,-0.003037400784478228,0.03578822912730228,,0
NaivePredictor,2,384,0.0,0.0,-0.0025853206206767343,0.04137514242945208,,0
NaivePredictor,3,384,0.0,0.0,-0.00026008111479458584,0.035266424820534006,,0
NaivePredictor,4,383,0.0,0.0,-2.793000150358438e-05,0.042300655592962,,0
NaivePredictor,5,383,0.0,0.0,-0.0004998973998340261,0.03498306245389751,,0
NaiveDrugMeanPredictor,1,384,0.7069445965025681,0.7220939125880459,0.4955245817427315,0.017999609828668873,,0
NaiveDrugMeanPredictor,2,384,0.673832723436623,0.705768416076682,0.45269571008254106,0.022586399862274207,,0
NaiveDrugMeanPredictor,3,384,0.7024403665382837,0.7122251139805071,0.488209685706401,0.018044321655620775,,0
NaiveDrugMeanPredictor,4,383,0.7698983358335858,0.7937722926264433,0.582580269513889,0.01765663510715491,,0
NaiveDrugMeanPredictor,5,383,0.7544419656943784,0.7725653361699631,0.5688939596443197,0.015073874143525453,,0
NaiveCellLineMeanPredictor,1,384,0.01096070676365335,0.007753582934193688,-0.20016425464103893,0.04282168671068374,0.27162106258051505,11
NaiveCellLineMeanPredictor,2,384,0.09359693139627054,0.07441582094502486,-0.07223533539626659,0.044249490599410746,0.306844989711374,11
NaiveCellLineMeanPredictor,3,384,0.0419518395678821,0.013256558846476712,-0.17692910085549118,0.04149528951326353,0.3642832343682602,11
NaiveCellLineMeanPredictor,4,383,0.06370584494150575,0.023311606117639234,-0.09616412038386879,0.046367165894707005,0.3064153303259317,11
NaiveCellLineMeanPredictor,5,383,0.0804303220942095,0.0580386285949709,-0.1308299132138253,0.03954012747178251,0.36065892102329855,11
NaiveTissueMeanPredictor,1,384,0.18762928427263426,0.1725702309641444,0.03183777369636087,0.03454388795498033,0.20766315400088417,11
NaiveTissueMeanPredictor,2,384,0.10980593846008152,0.14890242409561516,0.00420183087830428,0.04109504720544983,0.18723684432808685,11
NaiveTissueMeanPredictor,3,384,0.008950396273771283,0.0038753866149078674,-0.04231923927932746,0.03674931528815251,0.12805313487774328,11
NaiveTissueMeanPredictor,4,383,0.13333421877801832,0.10718753136497094,0.016062368247863446,0.04162004443779807,0.21459345605458405,11
NaiveTissueMeanPredictor,5,383,0.07168990225707762,0.06685068864930893,-0.016879679616621512,0.03555579109261133,0.180117076661006,11
NaiveTissueDrugMeanPredictor,1,384,0.6949743410279735,0.7242780083242909,0.45321555105273414,0.0195091899134229,0.17393877701721536,11
NaiveTissueDrugMeanPredictor,2,384,0.6966771240840752,0.7356030772902289,0.48060897577817274,0.021434462645486596,0.20477226849229638,11
NaiveTissueDrugMeanPredictor,3,384,0.6455428409739098,0.6836251003222749,0.36512619182083417,0.022383907794983903,0.0701043271577748,11
NaiveTissueDrugMeanPredictor,4,383,0.7347139387255734,0.7620370813108439,0.5364638855508249,0.01960733389934908,0.19361644681847184,11
