fold,algorithm,Pearson,Spearman,R^2,Pearson: normalized,Spearman: normalized,R^2: normalized
1,NaivePredictor,0.0,0.0,-0.016435251098238846,-0.08294423074149984,-0.04718702348743118,-0.05670892904646618
1,NaiveDrugMeanPredictor,0.211494464460984,0.17967367021402136,0.021524742009223607,0.0,0.0,-0.017244867149894816
1,NaiveCellLineMeanPredictor,0.0,0.0,-0.016435251098238846,-0.08294423074149984,-0.04718702348743118,-0.05670892904646618
1,NaiveMeanEffectsPredictor,0.211494464460984,0.17967367021402136,0.021524742009223607,0.0,0.0,-0.017244867149894816
1,SingleDrugRF (pca),0.1346044927975244,0.1606121011634278,-0.0012158627901837082,-0.013345053936621313,0.06097600793472334,-0.0408865109412595
1,SingleDrugEN (pca),0.3177823560010381,0.2935504700023607,0.06948166448807469,0.24664061273438115,0.2813916522392924,0.03261222717877588
1,SingleDrugRF (scgpt),0.36679850625234856,0.39457127460292574,0.12601918602422768,0.31520736639356656,0.36023243564588214,0.09138990511631084
1,SingleDrugEN (scgpt),0.211494464460984,0.17967367021402136,0.021524742009223607,0.0,0.0,-0.017244867149894816
1,OncoMLP (X_pca),0.3560312592717557,0.3816237508237789,0.11618551918017161,0.3047441201522714,0.3528749511010353,0.08116660407656962
1,OncoMLP (X_scGPT),0.42082950613932,0.4325683172546889,0.1657447269908071,0.3756847683421462,0.4043400718930291,0.13268947024377853
2,NaivePredictor,0.0,0.0,-0.0004991103820159992,0.11640554104396773,0.07608974509850565,0.012129676723362293
2,NaiveDrugMeanPredictor,0.030653275149711397,0.06537536099934099,-0.013262040837661582,0.0,0.0,-0.000472153807363318
2,NaiveCellLineMeanPredictor,0.0,0.0,-0.0004991103820159992,0.11640554104396773,0.07608974509850565,0.012129676723362293
2,NaiveMeanEffectsPredictor,0.030653275149711397,0.06537536099934099,-0.013262040837661582,0.0,0.0,-0.000472153807363318
2,SingleDrugRF (pca),0.07155233618144782,0.08336960454919216,-0.01709662724620009,0.06087991578027496,0.03895960809130829,-0.004258338198460443
2,SingleDrugEN (pca),0.2062590875699229,0.18803525096841825,0.04223290048797779,0.2629658187350651,0.24781903257791674,0.0543223033377761
2,SingleDrugRF (scgpt),0.2973763365737334,0.31487021586602176,0.08690924210066708,0.3159838763427363,0.30955999298110143,0.09843471840518503
2,SingleDrugEN (scgpt),0.030653275149711397,0.06537536099934099,-0.013262040837661582,0.0,0.0,-0.000472153807363318
